,0
大白菜,3
上海青,19
菜心,7
云南生菜,2
甜白菜,17
云南油麦菜,10
苋菜,25
菠菜,27
红薯尖,20
竹叶菜,15
黄白菜(2),13
外地茼蒿,45
小白菜,29
木耳菜,36
娃娃菜,8
黄心菜(1),23
东门口小白菜,34
南瓜尖,1
牛首油菜,21
快菜,52
奶白菜,22
蔡甸藜蒿,40
紫苏,1
茼蒿,16
本地上海青,37
萝卜叶,48
枝江红菜苔,9
牛首生菜,32
荠菜,1
四川红香椿,49
豌豆尖,1
白菜苔,33
随州泡泡青,42
丝瓜尖,1
本地黄心油菜,30
紫贝菜,1
田七,1
油菜苔,1
青菜苔,1
马齿苋,1
甘蓝叶,1
面条菜,1
薄荷叶,1
鲜粽子叶,1
黑油菜,51
冰草,1
芥菜,1
菊花油菜,1
大芥兰,1
奶白菜苗,1
芥兰,1
蒲公英,1
黄花菜,1
小青菜(1),0
双沟白菜,1
菜心(份),26
茼蒿(份),41
小青菜(2),38
云南油麦菜(份),12
菠菜(份),6
上海青(份),11
云南生菜(份),5
枝江红菜苔(份),53
洪山菜苔,1
襄甜红菜苔(袋),54
紫苏(份),1
马兰头,1
竹叶菜(份),24
鱼腥草,1
春菜,1
红薯尖(份),39
蔡甸藜蒿(份),1
红橡叶,1
绿牛油,1
红珊瑚(粗叶),1
保康高山大白菜,4
苋菜(份),35
槐花,1
奶白菜(份),14
黄心菜(2),31
小青菜(份),18
小白菜(份),43
鲜粽叶(袋)(2),1
芝麻苋菜,1
鲜粽叶,1
鲜粽叶(袋)(1),28
艾蒿,1
鱼腥草(份),46
外地茼蒿(份),44
本地小毛白菜,55
黄白菜(1),50
龙牙菜,50
冰草(盒),1
洪山菜薹珍品手提袋,1
洪山菜薹莲藕拼装礼盒,1
白蒿,1
大白菜秧,1
鲜粽叶(袋)(3),47
木耳菜(份),1
