,0
西峡香菇(1),3
金针菇(1),7
杏鲍菇(1),13
海鲜菇(1),32
姬菇(1),38
金针菇(袋)(1),2
平菇,18
蟹味菇(2),37
白玉菇(2),31
海鲜菇(袋)(1),19
姬菇(包),25
杏鲍菇(袋),9
鲜木耳(1),42
白玉菇(袋),11
虫草花,52
双孢菇,29
西峡花菇(1),8
黑皮鸡枞菌,46
鸡枞菌,46
银耳(朵),34
绣球菌,46
虫草花(袋),12
猴头菇,46
秀珍菇,53
金针菇(袋)(3),10
蟹味菇(袋),26
牛排菇,46
海鲜菇(袋)(4),6
虫草花(盒)(2),46
活体银耳,46
白玉菇(1),48
杏鲍菇(250克),51
金针菇(袋)(2),5
蟹味菇(1),41
海鲜菇(包),15
黑牛肝菌(盒),39
赤松茸(盒),39
猪肚菇(盒),39
牛排菇(盒),44
黑皮鸡枞菌(盒),46
杏鲍菇(份),36
海鲜菇(袋)(3),14
蟹味菇(盒),40
白玉菇(盒),33
金针菇(盒),1
虫草花(份),20
姬菇(份),22
双孢菇(份),50
海鲜菇(份),16
姬菇(2),55
海鲜菇(2),45
鲜木耳(2),49
西峡香菇(2),24
西峡花菇(2),0
金针菇(2),27
杏鲍菇(2),23
绣球菌(袋),46
双孢菇(盒),4
鲜木耳(份),21
和丰阳光海鲜菇(包),35
金针菇(份),46
黑牛肝菌,46
西峡香菇(份) ,28
茶树菇(袋),43
海鲜菇(袋)(2),17
菌蔬四宝(份),47
菌菇火锅套餐(份),54
蟹味菇与白玉菇双拼(盒),30
花菇(一人份),46
鹿茸菇(盒),46
赤松茸,46
