,青茄子(1),紫茄子(2),大龙茄子,圆茄子(2),花茄子,长线茄,紫圆茄,青茄子(2),紫茄子(1),圆茄子(1)
青茄子(1),1.0,0.30613907444726285,0.39642444408314476,0.18032020655503597,0.06549438217977355,0.02207108639410186,0.011049965165085702,0.10737431068800123,0.0928278881900093,0.027243307669925627
紫茄子(2),0.30613907444726285,1.0,0.12056456233604584,0.035571551162937746,0.07976876469019034,0.11840037037703295,0.022594602181295477,0.1726149655150539,0.15955976944157338,0.04550371286819163
大龙茄子,0.39642444408314476,0.12056456233604584,1.0,0.10394333363233904,0.05024066641436666,0.1913952234020806,0.023864967145327893,0.050450102185173165,0.04463039248599591,0.01199920283028615
圆茄子(2),0.18032020655503597,0.035571551162937746,0.10394333363233904,1.0,0.026521621236235915,0.005240728564388824,0.006361038103772157,0.07718332636252419,0.06298529385238902,0.01835751263180364
花茄子,0.06549438217977355,0.07976876469019034,0.05024066641436666,0.026521621236235915,1.0,0.10643155211650568,0.12175379906590131,0.02827950765848255,0.025017303661274432,0.00672608247827275
长线茄,0.02207108639410186,0.11840037037703295,0.1913952234020806,0.005240728564388824,0.10643155211650568,1.0,0.08576309162071753,0.10088413495351921,0.1075768955306163,0.020069812249625604
紫圆茄,0.011049965165085702,0.022594602181295477,0.023864967145327893,0.006361038103772157,0.12175379906590131,0.08576309162071753,1.0,0.010205268793988849,0.009028032292760484,0.0024272515791385406
青茄子(2),0.10737431068800123,0.1726149655150539,0.050450102185173165,0.07718332636252419,0.02827950765848255,0.10088413495351921,0.010205268793988849,1.0,0.8701131298628425,0.02321899470425197
紫茄子(1),0.0928278881900093,0.15955976944157338,0.04463039248599591,0.06298529385238902,0.025017303661274432,0.1075768955306163,0.009028032292760484,0.8701131298628425,1.0,0.10173475736647047
圆茄子(1),0.027243307669925627,0.04550371286819163,0.01199920283028615,0.01835751263180364,0.00672608247827275,0.020069812249625604,0.0024272515791385406,0.02321899470425197,0.10173475736647047,1.0
