,青尖椒,芜湖青椒(1),泡泡椒(精品),螺丝椒(份),小米椒(份),螺丝椒,小皱皮(份),红椒(1),红杭椒(份),青线椒(份)
青尖椒,1.000000076712335,0.11094891560736644,0.36981767951223987,-0.400233301755548,-0.37561412538453665,0.2620992802654601,-0.38153140044707007,0.3944168268091648,-0.21846007032581308,-0.31041345148002913
芜湖青椒(1),0.11094891560736644,1.0000000767123343,-0.4525093355794297,0.15928733687076632,0.2715043405831246,0.21118886459000202,0.21162839581291637,0.46915110837007906,0.17277338719467045,0.12779240647923573
泡泡椒(精品),0.36981767951223987,-0.4525093355794297,1.0000000767123347,-0.24635633449725522,-0.3015375650475582,0.04388138253411225,-0.27269289487955894,0.08502196621751676,-0.16142403949282996,-0.19916456497313756
螺丝椒(份),-0.400233301755548,0.15928733687076632,-0.24635633449725522,1.000000076712335,0.6756628829481917,-0.3727111772703671,0.686582848673991,-0.15999683615879873,0.2682653830788235,0.5837397047956696
小米椒(份),-0.37561412538453665,0.2715043405831246,-0.3015375650475582,0.6756628829481917,1.000000076712335,-0.1869494614417106,0.6944992938928257,0.06031664959914887,0.3521380126219817,0.5235550522561022
螺丝椒,0.2620992802654601,0.21118886459000202,0.04388138253411225,-0.3727111772703671,-0.1869494614417106,1.0000000767123345,-0.31627683642301163,0.35557755758252335,-0.20261893147194363,-0.3042592102782299
小皱皮(份),-0.38153140044707007,0.21162839581291637,-0.27269289487955894,0.686582848673991,0.6944992938928257,-0.31627683642301163,1.0000000767123347,-0.10916481849892175,0.4591857637628494,0.6254340451259408
红椒(1),0.3944168268091648,0.46915110837007906,0.08502196621751676,-0.15999683615879873,0.06031664959914887,0.35557755758252335,-0.10916481849892175,1.0000000767123354,-0.10203876038001598,-0.1431820419037741
红杭椒(份),-0.21846007032581308,0.17277338719467045,-0.16142403949282996,0.2682653830788235,0.3521380126219817,-0.20261893147194363,0.4591857637628494,-0.10203876038001598,1.000000076712335,0.4264866220819534
青线椒(份),-0.31041345148002913,0.12779240647923573,-0.19916456497313756,0.5837397047956696,0.5235550522561022,-0.3042592102782299,0.6254340451259408,-0.1431820419037741,0.4264866220819534,1.0000000767123356
