,高瓜(1),洪湖藕带,净藕(1),莲蓬(个),红莲藕带,菱角,野藕(1),野生粉藕,荸荠,洪湖莲藕(粉藕),鲜藕带(袋),藕尖,荸荠(份),高瓜(2),洪湖莲藕(脆藕),净藕(3),野藕(2),净藕(2)
高瓜(1),1.0,0.3324835738310174,0.3138043825240321,0.030678305914709963,0.18098284078562865,0.13647820571106573,0.08684160716602315,0.06443334036460141,0.20723048375374847,0.22677800137083862,0.07049293568838022,0.02945722029212315,0.04628520017601287,0.16967854993089643,0.017328972276904605,0.14632598887878426,0.04146898355280301,0.042762923802964946
洪湖藕带,0.3324835738310174,1.0,0.16055842480118482,0.39319432903522467,0.31273647940432653,0.46268405137856405,0.006371260025240174,0.0316406966662813,0.13525645560643523,0.18771380467640858,0.02853951485488925,0.018038806362359494,0.02834380688803154,0.10131465016239496,0.22084804859168683,0.09237930824880768,0.025394485865759375,0.026186859938589848
净藕(1),0.3138043825240321,0.16055842480118482,1.0,0.11904881310174781,0.2067776195608355,0.0663153506791115,0.140115398307332,0.07199589672182966,0.2955515876278549,0.38998991569791736,0.058292087780431205,0.037684178423950776,0.027282260123894446,0.14049342927841652,0.09259250706442722,0.0583709366532983,0.1466902287268569,0.023131452944414176
莲蓬(个),0.030678305914709963,0.39319432903522467,0.11904881310174781,1.0,0.04986111348810525,0.3318432963939545,0.07205426928241226,0.026254814448813727,0.07400925809008423,0.06947440243858033,0.015616173817294708,0.009870424814277029,0.015509086866327968,0.447450636701451,0.2339773431034342,0.009489021485121134,0.013895285441847434,0.014328854523611953
红莲藕带,0.18098284078562865,0.31273647940432653,0.2067776195608355,0.04986111348810525,1.0,0.1564249629880432,0.2072093908358023,0.020365117994527105,0.0754996314773926,0.10478112126142261,0.015930647039557586,0.010069192088051345,0.01582140360782119,0.02818517750966294,0.01851733411372181,0.05156577331300111,0.014175103996525766,0.014617404145695817
菱角,0.13647820571106573,0.46268405137856405,0.0663153506791115,0.3318432963939545,0.1564249629880432,1.0,0.035626573309487666,0.003141961921959749,0.08073724643741596,0.11205007287757945,0.01703579939095978,0.010767719353466139,0.016918977444982306,0.16590444693318449,0.11211360668605687,0.05514303137962121,0.015158469548108896,0.015631453262652497
野藕(1),0.08684160716602315,0.006371260025240174,0.140115398307332,0.07205426928241226,0.2072093908358023,0.035626573309487666,1.0,0.038079340052712664,0.024824370104810138,0.07206608785150397,0.022649316157627584,0.014315822482781631,0.022493999865866313,0.06383216779737864,0.02632692530922806,0.12930419264592216,0.02015338179217347,0.17189949557694228
野生粉藕,0.06443334036460141,0.0316406966662813,0.07199589672182966,0.026254814448813727,0.020365117994527105,0.003141961921959749,0.038079340052712664,1.0,0.2049708327260896,0.015964004813888898,0.007819061645197621,0.004942149145499852,0.007765442911133708,0.03105379223216901,0.00908865638541776,0.02530945286248955,0.006957408051330468,0.007174497295945161
荸荠,0.20723048375374847,0.13525645560643523,0.2955515876278549,0.07400925809008423,0.0754996314773926,0.08073724643741596,0.024824370104810138,0.2049708327260896,1.0,0.3877542817700356,0.022041022321826094,0.05193738119128633,0.000309968995022565,0.06861552664450281,0.025619861737429462,0.07381173661865612,0.01961212139254752,0.004569356084179488
洪湖莲藕(粉藕),0.22677800137083862,0.18771380467640858,0.38998991569791736,0.06947440243858033,0.10478112126142261,0.11205007287757945,0.07206608785150397,0.015964004813888898,0.3877542817700356,1.0,0.03058932854951134,0.002728146934897706,0.029280237518457014,0.12789783335463129,0.03169622353656718,0.30035213064040944,0.1319064637103131,0.011493766520460148
