,大白菜,上海青,菜心,云南生菜,甜白菜,云南油麦菜,苋菜,菠菜,红薯尖,竹叶菜,黄白菜(2),外地茼蒿,小白菜,木耳菜,娃娃菜,黄心菜(1),东门口小白菜,南瓜尖,牛首油菜,快菜,奶白菜,蔡甸藜蒿,紫苏,茼蒿,本地上海青,萝卜叶,枝江红菜苔,牛首生菜,荠菜,四川红香椿,豌豆尖,白菜苔,随州泡泡青,丝瓜尖,本地黄心油菜,紫贝菜,田七,油菜苔,青菜苔,马齿苋,甘蓝叶,面条菜,薄荷叶,鲜粽子叶,黑油菜,冰草,芥菜,菊花油菜,大芥兰,奶白菜苗,芥兰,蒲公英,黄花菜,小青菜(1),双沟白菜,菜心(份),茼蒿(份),小青菜(2),云南油麦菜(份),菠菜(份),上海青(份),云南生菜(份),枝江红菜苔(份),洪山菜苔,襄甜红菜苔(袋),紫苏(份),马兰头,竹叶菜(份),鱼腥草,春菜,红薯尖(份),蔡甸藜蒿(份),红橡叶,绿牛油,红珊瑚(粗叶),保康高山大白菜,苋菜(份),槐花,奶白菜(份),黄心菜(2),小青菜(份),小白菜(份),鲜粽叶(袋)(2),芝麻苋菜,鲜粽叶,鲜粽叶(袋)(1),艾蒿,鱼腥草(份),外地茼蒿(份),本地小毛白菜,黄白菜(1),龙牙菜,冰草(盒),洪山菜薹珍品手提袋,洪山菜薹莲藕拼装礼盒,白蒿,大白菜秧,鲜粽叶(袋)(3),木耳菜(份)
大白菜,1.0,0.19676609168645626,0.20199399897107287,0.18028055672104096,0.08136659528226188,0.34264850073842745,0.1637307196218874,0.3577882416313581,0.11108539708485599,0.15389550481952413,0.04754179150429394,0.09611358328264924,0.008539261073285226,0.18979486782858226,0.010634039761887476,0.27109713867896423,0.030278773936472863,0.006800875804346696,0.5366595009406305,0.008492040034535273,0.002782023316231544,0.1815143377318656,0.006063746949493469,0.3476747346977254,0.04751089491784163,0.10592885333192122,0.20834301767750177,0.00495591134344041,0.10207383288193025,0.008600376818275567,0.2747839846011278,0.0884268845789062,0.10166684801374844,0.041457904054649074,0.1427295932759665,0.047032641748504446,0.06596337135489923,0.031554420891612235,0.08616114217957076,0.03390808310881904,0.0129780967986768,0.050606514896957,0.009069716860133204,0.0027187749755340873,0.04733862229925164,0.0031769932513811476,0.0015954045467443205,0.003082794414358658,0.003418004779641439,0.006232883532351816,0.00276843963926638,0.03760359406870042,0.03133627159587391,0.3509041364437437,0.020408999824010062,0.22342450753978602,0.14383693011498666,0.10398369910390888,0.28165031986599925,0.2772694602569362,0.21098918017369345,0.2926540626749109,0.10493860285129496,0.03526233058064891,0.024882047533479994,0.08829111381865125,0.05252083548971801,0.10274070512937365,0.07502614080312117,0.06170530192336421,0.10185017639234424,0.056705140584694266,0.01630828313469735,0.016308283134697406,0.01630828313469736,0.19650097205032976,0.09744546087113724,0.056248365402003064,0.2153087038814275,0.20233289107212696,0.1918882749977155,0.10113528711360183,0.02783980278425338,0.016308283134697364,0.04417325486949775,0.020236813132531093,0.02805458034399566,0.12176414541586499,0.06618874194270337,0.0786107674054577,0.09464582082177572,0.10277332791755225,0.037041059203789216,0.016308283134697385,0.028272630150528073,0.02064822284502834,0.028290036262080542,0.04361073091631601,0.07991108033921525
上海青,0.19676609168645626,1.0,0.5181944403691209,0.5388096358062908,0.43940875820863906,0.6194062207184374,0.22569104733260065,0.07625448070778985,0.3388227886814904,0.25585454308277916,0.4804067867475983,0.1230056397415444,0.45024567324627224,0.1259356146294045,0.0028841497700103818,0.2981969710822125,0.08653175676184674,0.025308518064697045,0.030467811342682564,0.21627839263622778,0.11978102996445707,0.14463365198758674,0.06159562669530664,0.06175649363408279,0.011845338803715052,0.046172100161995785,0.043060946734665935,0.05072816634447335,0.009247384643686652,0.12014337222484735,0.06120799383052069,0.1523544402119777,0.0594307415289763,0.017977315733042638,0.2611117271241744,0.18242326973429,0.14058920059416477,0.1327300791845384,0.04033289133918435,0.04831865236270704,0.03318018942017541,0.025489252790294802,0.04125040913008133,0.025348057689345085,0.07978984440734693,0.018096427451489473,0.04551255318865272,0.02909677180006213,0.036015976212260624,0.008865811517480735,0.02197216957799554,0.00808051812417858,0.0024746691596697202,0.14381542453895116,0.02487393077576693,0.325774299296951,0.04708691043560086,0.06010657529727287,0.3178652262414299,0.26423774166552877,0.3250013053770538,0.3546891025655007,0.030463463834209708,0.03386166489585383,0.05688976238133346,0.07406480860314851,0.026194086272150495,0.16184536619656376,0.05480807608422188,0.055217542092331866,0.17497769804764995,0.07129833391739941,0.022510198848036702,0.022510198848036664,0.02251019884803667,0.31183235798511016,0.17346798433911426,0.02568663220517056,0.27412114233008283,0.29148762256754385,0.3544507382440043,0.18040867294673663,0.024993868819737957,0.010632979053800558,0.01610452162806645,0.006243861595636576,0.028109608089698347,0.21298137110545395,0.12172658921230572,0.14067438343480584,0.16148979369365007,0.17167895466618627,0.05868019710602579,0.029992286053929514,0.01928698857278277,0.035622339870268464,0.017891160929737228,0.007597020694182707,0.016867068692833928
菜心,0.20199399897107287,0.5181944403691209,1.0,0.5143831103411723,0.3948317588805559,0.49723801133850787,0.12021966140801299,0.10094089862952407,0.40831155486448234,0.28156195827570635,0.4097676884137,0.07581842491059378,0.5800314009043469,0.14594319180100376,0.0016342161317439052,0.2607505202023422,0.08398289990870451,0.031160828768439043,0.06903966202653959,0.29807990539079027,0.06615481392571998,0.01451754166137193,0.029204034349837295,0.04296235008908126,0.07672134041213814,0.004316209720380894,0.06136117122068163,0.0071105179697454855,0.024579123388469872,0.07407608338873387,0.05265716310993015,0.019032456482261453,0.053578194846884655,0.004426790570214743,0.19390588350112628,0.038148116088633534,0.08368934774786818,0.0333001588523506,0.012764561359624295,0.011310400295242537,0.0010071518315971182,0.07533731754402456,0.025354679140747374,0.04697638985740356,0.06139934345911462,0.03865109782052404,0.027909388921966125,0.03755849172482063,0.04399010173659521,0.0062632803218187795,0.0006518303991393614,0.06410773093001802,0.02035847985528814,0.25390127577887794,0.012789389432294448,0.27767213302580346,0.12655353113867246,0.0449546852490471,0.33812582112460027,0.3191284755918389,0.26731139996709147,0.353209998087262,0.0452823734938806,0.026254247396149667,0.025914726317247137,0.081585629178393,0.06443204068696232,0.1324265516671865,0.09616246849504789,0.07489364512457605,0.1359576276059361,0.07435096743453093,0.022047771126925013,0.022047771126924996,0.022047771126925048,0.2109608381981044,0.12740304958132215,0.06398234070166561,0.28708804188682807,0.19338485504000452,0.26022108016647394,0.13589879884407377,0.03763765903107354,0.022047771126924944,0.05971945699310948,0.02735889612654045,0.008228478618634273,0.16105840792945264,0.089483008203788,0.10695332997972459,0.1186851577742062,0.12236255963503696,0.07820363245597065,0.022047771126924992,0.03428877026514006,0.0551032330955594,0.03824634632150288,0.04089979068141126,0.07666043945365246
云南生菜,0.18028055672104096,0.5388096358062908,0.5143831103411723,1.0,0.4259493979490487,0.5964558439448372,0.24897516554072746,0.23616171129909402,0.4774444863795179,0.35314872434364264,0.4497018072218822,0.2954703328404649,0.5801464131720573,0.24356288417906766,0.11183027571376984,0.3341222905511354,0.16506595439741628,0.0594501894250678,0.023384666300281437,0.053687816672948564,0.32101130615757867,0.051004499277531645,0.011733693947288213,0.060382142923745385,0.07915576396063762,0.06556058152178593,0.13953848658871423,0.052190962088604874,0.03544254759863806,0.02295110682999866,0.03579723670479135,0.06323089946344546,0.0789591220060215,0.008775980209745323,0.25280563637613607,0.07747166033836614,0.20680304065946092,0.02764478840419686,0.03195345920440849,0.02078708339673239,0.025798090121116238,0.07650788219857482,0.061796690720093576,0.07579389132682866,0.07587851966691951,0.10960472967543627,0.11967175283396507,0.10030288913967603,0.08052049486768564,0.12843097322120775,0.062492776404756735,0.03538794828283087,0.05560446679567255,0.13850170047643998,0.008877830217317159,0.3191132461733456,0.05709471161327208,0.04059603989718808,0.46449117931373185,0.4700905503090538,0.3100347824245691,0.5479682107460215,0.04312628543395257,0.050633476154869086,0.02250406535286624,0.025016987018364866,0.024264882656177173,0.1330589978263244,0.045078659144051896,0.03437218374247841,0.15145303752947956,0.08359545412284682,0.009724919471312222,0.009724919471312203,0.009724919471312266,0.27935872113127114,0.13125581849419787,0.00967728559250717,0.4262959091689824,0.20574569334084292,0.3341222711933321,0.1531401116751936,0.00032735279995775037,0.007184501636253119,0.010414693615069201,0.00680611438340173,0.038384144240707706,0.2289969854842847,0.1013841880757727,0.13127514420077024,0.15433275021223156,0.17429964671193815,0.13597337590035485,0.031123548621599263,0.05395691084601605,0.10900591516426658,0.05399012954566354,0.06789031355763099,0.1429624562073292
甜白菜,0.08136659528226188,0.43940875820863906,0.3948317588805559,0.4259493979490487,1.0,0.4198956720970206,0.031476116337527414,0.01880104513488126,0.3078881128169547,0.12071577012605605,0.48782485195225944,0.17947952164115322,0.47192528414348156,0.19659670786060696,0.012102116880265468,0.2182200485869868,0.03657952308481103,0.0007890138317442184,0.02956697965241823,0.1159028445073252,0.09019646253879268,0.09503491644087385,0.07819947012950601,0.09423681772082693,0.0845247128509152,0.08158665526791967,0.18677277080620786,0.12409675115595771,0.01818115079921623,0.12719712109039288,0.027120493142506488,0.11078670472335332,0.12577931450786936,0.04893052539298326,0.09297092620318738,0.09104413738331026,0.1066149073194304,0.05258983075595774,0.024387628796395455,0.11744069027610644,0.014537233578776064,0.06714334408315674,0.06738520066327018,0.03691739842919916,0.042842315939133534,0.03948987352925717,0.09469608755732381,0.01719946295964563,0.019572362999911726,0.01749070898957997,0.002887135437802193,0.040222869089285386,0.02245277643095021,0.21628932915690804,0.018395904865663473,0.06720937813976213,0.12843582169522685,0.0930627629758834,0.08587410776495996,0.1476749205365195,0.016559419993245974,0.10986395625236353,0.09378910485414786,0.03156686565597439,0.022179902931831103,0.07870286123382601,0.04681716934642054,0.051595445225426084,0.06687843989221683,0.055004219616493044,0.08061267489084668,0.0072895299418557855,0.014537233578776076,0.014537233578776053,0.014537233578776062,0.08920165330562513,0.0786607741995197,0.05013989636551889,0.09227105147406782,0.03353031170024108,0.012224964673485066,0.08569567783838254,0.02481645140196795,0.014537233578776053,0.03937612062954979,0.018039132443790906,0.025007904513718888,0.04292796696164192,0.029486154174562008,0.024201289475108877,0.07553989886941669,0.0868395333124673,0.0664348186365192,0.014537233578776036,0.025202274512276503,0.05091464567480166,0.02521779035212595,0.03887468574314767,0.07123288397856649
云南油麦菜,0.34264850073842745,0.6194062207184374,0.49723801133850787,0.5964558439448372,0.4198956720970206,1.0,0.11264431499757978,0.20480155876758704,0.31983465115341303,0.2207618344267935,0.39222264252519334,0.16665666782092448,0.4354974367832213,0.10344261634076261,0.03660637159015555,0.29170224334075184,0.12396456852960717,0.014726534073025944,0.05778449256484447,0.10237293980252435,0.11247116965304726,0.10740212903346041,0.047050097871102925,0.03714620720778004,0.024935676827283922,0.08464832344613518,0.00559403734641925,0.024778970567819653,0.05078380499743444,0.012752552417505445,0.004096855554823289,0.23292553434237934,0.042779390107171494,0.00881718788164066,0.22024985418809356,0.1189268137623858,0.11495612898378363,0.06927156740253337,0.14591238368139298,0.05966488402167148,0.0314040217308685,0.05258950258380615,0.045102162748879036,0.019838085333092424,0.060596831595658124,0.02639112894475877,0.05254928518506624,0.0090825041348179,0.01859640024689973,0.010554556262590298,0.00026225635067834746,0.03870514242908133,0.047258055202457815,0.24981591300398867,0.019811229736767064,0.28189801554756183,0.05634053530174849,0.04374891809001588,0.4337031159566879,0.40423010773304746,0.26104693710802374,0.446404127180998,0.03662804206130463,0.02211377859568239,0.07884578006282099,0.07392427528397343,0.04375671895429149,0.12375964462612014,0.07433848366084951,0.057778070967229214,0.1346151848610171,0.07590749398351745,0.015302775185690795,0.015302775185690818,0.015302775185690806,0.25624590074958226,0.13101919561067848,0.015700944583724393,0.35983482982754517,0.21109999917556402,0.29139620281099693,0.13835834323381965,0.00709915902722638,0.01273501597744439,0.021015026728454643,0.006314825703851602,0.04302467363946055,0.1993944821392187,0.10512300146694405,0.10278746207427784,0.14126983114513747,0.15487580854809468,0.11813769289460571,0.025901318284251296,0.04449313720748932,0.0907157772355166,0.04493110816418005,0.06926390796276194,0.12677089844112963
苋菜,0.1637307196218874,0.22569104733260065,0.12021966140801299,0.24897516554072746,0.031476116337527414,0.11264431499757978,1.0,0.148640114788287,0.426589883520314,0.6003732704369946,0.2076248163906219,0.22942356104890163,0.268155950434796,0.3073626619264868,0.07857991571682169,0.014991706847143307,0.23000206135485715,0.010549530394847208,0.3560555928683444,0.05659169678509966,0.3079056276485756,0.06104192059939912,0.004859358517813326,0.3987822022782543,0.30679391542702134,0.12544691435712613,0.3213314766591858,0.05150294043301346,0.07887160643835607,0.25890303401895515,0.07107254787122516,0.061598576610669926,0.1117997733650122,0.04998488641291437,0.22978161620837972,0.12723632277875438,0.21411810173584772,0.09528552063560342,0.023709612625041964,0.2757490878365193,0.024940933710153844,0.010280333915991062,0.06085693826341825,0.09601411014434358,0.07318392115348253,0.011992520459504103,0.06389379360260969,0.01805595921690742,0.012198028271283823,0.006019678082777415,0.024940933710153792,0.034255611464560146,0.05279289740187632,0.25756577096512556,0.031561097323404126,0.22445479083843517,0.16545282632030325,0.15966395460921504,0.13529351273917842,0.08716956484717374,0.20926402385120943,0.16083130649258134,0.16091010949408674,0.054157973007494004,0.038053147163301,0.19958238486000207,0.017931898069374348,0.004374132416355599,0.26354692078602665,0.22851453528169197,0.05618521759290796,0.08346292954381324,0.08020254997989666,0.08020254997989669,0.08020254997989665,0.2382498010827205,0.1171155848634752,0.13012512829971593,0.14911674164614283,0.14174254932069255,0.24820243169321693,0.07082638681228522,0.044937954025675894,0.014781722873130843,0.1284244382821293,0.0659339132140894,0.061767592447390524,0.18551035181494824,0.08622367729692007,0.12407953532225262,0.1456636720785353,0.15690117129075495,0.03976419185101451,0.024940933710153795,0.043238505768627054,0.04551045981606395,0.01269998304470115,0.06057174947155144,0.09545236571363391
菠菜,0.3577882416313581,0.07625448070778985,0.10094089862952407,0.23616171129909402,0.01880104513488126,0.20480155876758704,0.148640114788287,1.0,0.1477437595965995,0.14674115617202585,0.07796579730249423,0.03728910547469038,0.025508000199002255,0.14816350915330334,0.06728810717169575,0.17668907015367838,0.15358611714525464,0.0010301023758185499,0.4781863558721251,0.05473772290032209,0.2331606091097456,0.05970166695009677,0.00023837526129582326,0.40239013804081164,0.040328998112940835,0.14800454851742115,0.33496379292606193,0.08425259826824702,0.009399692634782806,0.03772643645668015,0.10096433748637564,0.06914210371806782,0.002830839673138439,0.005947305401921372,0.04241509388926018,0.03405822737672659,0.04146405058634569,0.002101286911928144,0.030436110169075055,0.03958758734964219,0.009693226931461303,0.08366084303602922,0.05391463778960467,0.020091943488825047,0.04553529851835988,0.04821412510563382,0.028318018183207543,0.018189851530078422,0.020311112867852622,0.009501464020792907,6.38276666028743e-05,0.04618437308088029,0.04764856841354109,0.07609521365041928,0.0010754325223876534,0.06695435454682434,0.11871072975394882,0.22301989724571944,0.2397724716899834,0.3368674089482038,0.11394735197959177,0.27729812386274105,0.19161177580030334,0.014026523663279203,0.025894336829332464,0.040968672735631866,0.025077169697130003,0.12953896730426542,0.012854847899169094,0.032045782410366,0.1393640235298329,0.05433011522198701,0.005166382421290169,0.005166382421290173,0.005166382421290172,0.007299264220132938,0.13074215730237568,0.034006392679546554,0.3209384208652351,0.1940349733978997,0.17085069304397044,0.13958732249241942,0.00357675773854114,0.008554640333307967,0.012136048447248372,0.015384545841598513,0.04025191020810874,0.005643655929490845,0.09396570402943115,0.07229353359079807,0.05437508151925458,0.0625228771373142,0.11137854267076767,0.0017717075638329298,0.0021221624057575555,0.08794985327524701,0.043561158719662624,0.06715205147589393,0.12304753595463437
红薯尖,0.11108539708485599,0.3388227886814904,0.40831155486448234,0.4774444863795179,0.3078881128169547,0.31983465115341303,0.426589883520314,0.1477437595965995,1.0,0.6507385599746321,0.39049107747780476,0.26629217782621867,0.5843940621316994,0.40756253059584213,0.0624271844988603,0.06840148650637379,0.008915680825628684,0.07452224208111856,0.273655040063498,0.20497082060577013,0.13090779562249372,0.1760804831622794,0.05161892923329211,0.37634475779671206,0.09709745279895776,0.08380229143974359,0.2819946360347034,0.028144326510551803,0.05992551142068244,0.08769016016781238,0.08187117101974788,0.12495928303424829,0.07558955475786967,2.2804750822345442e-05,0.1566338181694519,0.02359866537352868,0.09162582784972517,0.020233229068359535,0.03283130073468462,0.016849978287758825,0.01957042611480517,0.07678836404824439,0.03995592934330088,0.09650175173550053,0.05725896612882502,0.12864207882377227,0.08647588170570439,0.043506852315021105,0.05126322273399214,0.027067907260462834,0.031675245562274384,0.048760402408486496,0.007504977959845974,0.028998093219715342,0.017696553306017975,0.22130625549802635,0.1627918092353459,0.1252836667299725,0.24262560694735671,0.23666734391314556,0.21038268107300584,0.25824913539371885,0.12626148826566136,0.042496188057276785,0.029859199084114666,0.002777394094659013,0.040805087944306415,0.11123761054603377,0.0568589136493501,0.03858658985231865,0.11800013472577155,0.03315426880957186,0.012546886577931904,0.012546886577931906,0.012546886577931916,0.194558448441175,0.1024951636173914,0.0017021495241927712,0.2450602523783968,0.08620150284064616,0.19063953216636448,0.09863839245583038,0.01699701349164641,0.004407630506347449,0.050205660595890496,0.06621622065111911,0.03498395613560073,0.1330041366612833,0.015854233843573005,0.08443410774311412,0.11429805175511987,0.12439502610933632,0.07724580213069597,0.019570426114805074,0.0339279993400965,0.06733928748465379,0.03394888719305264,0.009679958431811561,0.04297863070123166
竹叶菜,0.15389550481952413,0.25585454308277916,0.28156195827570635,0.35314872434364264,0.12071577012605605,0.2207618344267935,0.6003732704369946,0.14674115617202585,0.6507385599746321,1.0,0.2771904105065938,0.285398453133025,0.4547720850633862,0.5253184068413523,0.07022677734524152,0.0037995143175301666,0.020633960242227526,0.031114751417077143,0.3324766896817951,0.08242832106547736,0.2780998730518704,0.14691959742157878,0.01169887963704373,0.4226064216552612,0.2787627520685218,0.013089320527137469,0.2955920015924913,0.056667323644481085,0.0744154122927008,0.06462241462361507,0.09987781647999988,0.15407690531115864,0.08707304834140314,0.0014766314347183927,0.17206485856509063,0.010214742954811704,0.17961567677806814,0.042824433294207265,0.035225445383042515,0.15696422132575946,0.015789315058141924,0.07948508030675161,0.002016196435740753,0.2064067857027559,0.0676203908452852,0.08408435727358568,0.0745254749827282,0.03762392175081444,0.0382163782667956,0.04342720223344996,0.01702365221108476,0.033124666783192085,0.08258165347546383,0.1424215471498913,0.030037339015234317,0.2502622211384538,0.19434519481274323,0.14403105973658822,0.15689400601976566,0.11011836789138896,0.23094428840340864,0.1637505998973376,0.14486969357313215,0.05098140108069543,0.03148944631509609,0.02268512222147857,0.05497649124889972,0.13138920038769056,0.05371944098259751,0.029979699573237224,0.1389644709365093,0.03235737323026639,0.007249543793128247,0.007249543793128251,0.007249543793128256,0.21893329230916944,0.12233453434652734,0.08437651353341985,0.1722053724566177,0.059649313772588995,0.19954708060546533,0.11271329659042675,0.03883726068724169,0.027907463255860496,0.1832228859582528,0.10889881455036127,0.05245811209924096,0.11786746359326422,0.017084150848176466,0.08802057665646662,0.1382544631197009,0.14761041956998866,0.04651583829394551,0.023736794495191286,0.04115096642477362,0.0680765873604966,0.026276991099148665,0.09490433055029789,0.13003543607249082
