,泡泡椒(精品),青尖椒,红椒(1),七彩椒(1),红灯笼椒(1),青线椒,红杭椒,小米椒,灯笼椒(1),螺丝椒,红尖椒,青杭椒(2),芜湖青椒(1),组合椒系列,青杭椒(1),红线椒,小皱皮,余干椒,辣妹子,紫尖椒,小米椒(份),青尖椒(份),红灯笼椒(份),灯笼椒(份),七彩椒(份),小皱皮(份),水果辣椒,水果辣椒(橙色),青线椒(份),青杭椒(份),红杭椒(份),红尖椒(份),水果辣椒(份),螺丝椒(份),灯笼椒(2),红灯笼椒(2),七彩椒(2),姜蒜小米椒组合装(小份),紫螺丝椒,红椒(份),青红杭椒组合装(份),红椒(2),青红尖椒组合装(份)
泡泡椒(精品),1.0,0.3698176511426634,0.08502195969528417,0.20198213923749164,0.4079377989318328,0.3741524276689638,0.305950989676,0.28210078487040047,0.30635888132809247,0.04388137916786952,0.1671443668471783,0.029114253930582156,0.4525093008663851,0.08531377811385997,0.028659155434862634,0.06352212548465669,0.09575944283918529,0.04901960687288601,0.09601538255800315,0.01636205683052099,0.30153754191591003,0.16984122515073266,0.03574125861685013,0.0237688486203115,0.03914772704754133,0.2726928739606518,0.06731592421581566,0.013710401579973327,0.19916454969476013,0.11873214549249737,0.161424027109616,0.19260243600601806,0.10857674310703644,0.24635631559868754,0.11581399915625566,0.13504373364326025,0.1927930143770589,0.24272337417269937,0.03418223751034903,0.05428989231512822,0.18286329370535723,0.2145921993615484,0.0546896241509763
青尖椒,0.3698176511426634,1.0,0.39441679655253137,0.2497574804780408,0.3115220569591842,0.5686148867109896,0.5556755619001796,0.55507939337632,0.2815276361765883,0.2620992601592143,0.15005008572837525,0.14353506512939787,0.11094890709621669,0.24126602224786772,0.13803862187981075,0.015284854792942984,0.009604706314416124,0.04135848341429263,0.09973608195026093,0.008728286105010693,0.37561409657030165,0.24500015219079094,0.03831160006610003,0.0015515436555217394,0.1815467048784016,0.3815313711789072,0.01750431176990837,0.050575947704051306,0.31041342766749025,0.1433312173032894,0.21846005356723183,0.28300196652433784,0.0852385174426024,0.4002332710527181,0.1469993353715752,0.18803983950622075,0.3046696002112399,0.3858384890600559,0.05699240588865051,0.023080797963833288,0.3001571977048385,0.35272124227588864,0.09118458838648326
红椒(1),0.08502195969528417,0.39441679655253137,1.0,0.6663008784203424,0.41445715314889847,0.5878665041165653,0.6201014622244856,0.7606176109234394,0.42108337558445125,0.3555775303053412,0.20716565741095147,0.006134911219734167,0.4691510723804038,0.30066750653206226,0.30007942782320757,0.009589625255712105,0.21816933175625852,0.03167271369663558,0.011479215440923984,0.002643323264789389,0.060316644972118236,0.11786166417943786,0.004168900543906842,0.0023291970512891173,0.27345088499726933,0.10916481012463436,0.002924207927638776,0.009951957061837576,0.14318203091994638,0.07153864191920416,0.10203875255238519,0.11790271577785161,0.031558867321850904,0.15999682388506875,0.03224070129104733,0.07330750760485283,0.062142198658848735,0.1258019450584173,0.25229130481453815,0.040712607796761745,0.12476079784130946,0.16384274262526893,0.04361388032657495
七彩椒(1),0.20198213923749164,0.2497574804780408,0.6663008784203424,1.0,0.6706371278371834,0.4538724163685578,0.3063086033205644,0.57012663337332,0.5958991157834197,0.2961987212235616,0.003788285314434281,0.0033589046874219486,0.140548349947379,0.03570050584148403,0.22173001966165617,0.03905561870274111,0.3049964432972244,0.025452278409694357,0.05212332086647312,0.010537457000911367,0.1243568803036679,0.1091490836316472,0.009809733349982606,0.013163450538415541,0.0725133404989539,0.09881531594116313,0.036428849858248694,0.051968009165593194,0.10914595651439465,0.07646562352841471,0.09844913481182654,0.11355069389991305,0.06992536290762698,0.1126919701427557,0.004447794491798344,0.10570532876113804,0.0403498346916463,0.08997738266895795,0.2950625336254139,0.034963660851467494,0.07313550262258778,0.11909025956277579,0.024598864455951504
红灯笼椒(1),0.4079377989318328,0.3115220569591842,0.41445715314889847,0.6706371278371834,1.0,0.44159032585947317,0.34731489574622276,0.43588464310341624,0.5325297729667284,0.18301253705711756,0.06170030558368177,0.028686485289759332,0.06963267667271401,0.07204279449979789,0.19776192508970103,0.054794057092539705,0.10350248559573123,0.03157009794281205,0.08344670653326394,0.014654933082497271,0.05999920953253181,0.15051207567396072,0.013120714860918958,0.011792427610727524,0.04132694886023663,0.1591493485395561,0.04208366551737935,0.01227993642668922,0.11832775352673772,0.10569405779506941,0.14357971561009394,0.14012415742578255,0.09466351219188607,0.1332557871617201,0.059670288880790054,0.0708035787881232,0.07947450740047789,0.14941765423212955,0.09216215392232785,0.04862559439654835,0.10325820055022332,0.09449376746576663,0.025639576323229177
青线椒,0.3741524276689638,0.5686148867109896,0.5878665041165653,0.4538724163685578,0.44159032585947317,1.0,0.6542707621416064,0.6855224641514842,0.34853879874260946,0.374021376963464,0.16994722852933025,0.07033584265368938,0.18957813986532926,0.2665829810111893,0.20780739343752916,0.003009477296841106,0.16922707036368376,0.026612852950218514,0.02314780077518582,0.01621392110919904,0.29640934019352316,0.27188436075986866,0.011465378980866482,0.008462998099378314,0.13728604743079617,0.4158822070825774,0.023123413339445297,0.03369615737146067,0.3446566134346175,0.17650638939987354,0.25661157514451743,0.30641617585340386,0.12138116604159552,0.4259511149200934,0.14091974978484834,0.14742968103486345,0.30397351491252717,0.3896699680267416,0.05275986606844483,0.07646512396456127,0.3267486133216898,0.3884851650644706,0.10209739865312156
红杭椒,0.305950989676,0.5556755619001796,0.6201014622244856,0.3063086033205644,0.34731489574622276,0.6542707621416064,1.0,0.6983408895789821,0.27982616204569666,0.26188651570522964,0.1380596691499235,0.12129497078099935,0.27183249392991593,0.4698440794737794,0.33199272356914206,0.022995511796483195,0.0002817485157019912,0.051437172448999875,0.04206337789202862,0.019960184349381724,0.2833543250046633,0.19126621041336683,0.00047691654184594645,0.00026956794075059013,0.1495667200589982,0.2817392001674701,0.04742295999434405,0.05502349717190981,0.2333681101185966,0.12083222739935974,0.18052640609726975,0.2146106260777394,0.09413297933057063,0.2928105790494878,0.12085213392357902,0.1516300744623836,0.2283422537049167,0.29295561855829977,0.04169914389419668,0.05169874935086941,0.22014192038902272,0.2553052026592051,0.06461596307390545
小米椒,0.28210078487040047,0.55507939337632,0.7606176109234394,0.57012663337332,0.43588464310341624,0.6855224641514842,0.6983408895789821,1.0,0.4359587982016445,0.40318272504278896,0.15468990154641157,0.16879455399452864,0.3292674888497626,0.38944787026681255,0.34013550812204274,0.07892993958471026,0.22786344534214778,0.057056363389725535,0.07380209857008092,0.02205474662367572,0.21500891393240149,0.22915676688471137,0.01916333011198966,0.010252945216500432,0.12333079435262423,0.3178636554250671,0.0073256016883313495,0.020017371854905625,0.26359090741284935,0.15201490000173112,0.2143805484678832,0.2584286580739928,0.1445963200966035,0.31081257558883507,0.1032912869028314,0.03786524229484514,0.21819943654745896,0.29944016845374993,0.17609804381256886,0.0459082954695498,0.226825299452841,0.28598502174483753,0.0768569548079774
灯笼椒(1),0.30635888132809247,0.2815276361765883,0.42108337558445125,0.5958991157834197,0.5325297729667284,0.34853879874260946,0.27982616204569666,0.4359587982016445,1.0,0.23660517979224863,0.07263708864579282,0.018067403061954184,0.040573533144743254,0.06375361785430475,0.14959852490559578,0.04926711735715894,0.20262437197902425,0.10566607931673659,0.07272838549248167,0.012690245610066889,0.05808010862501324,0.13173271731642114,0.011885936836778663,0.015912116048875692,0.05192802741832832,0.154919708443613,0.00913332436438662,0.010633648646052945,0.13592396642278393,0.09208744986751234,0.12223137483057533,0.14529878783275213,0.08421102260195237,0.14909475239121675,0.031451565774790496,0.11291195175354798,0.08085091653549337,0.1341968646473391,0.3433229146195678,0.042106690788282976,0.09130058199702142,0.14298562168484558,0.030856172678419124
螺丝椒,0.04388137916786952,0.2620992601592143,0.3555775303053412,0.2961987212235616,0.18301253705711756,0.374021376963464,0.26188651570522964,0.40318272504278896,0.23660517979224863,1.0,0.26727104457145506,0.006132184966963797,0.21118884838921162,0.233063713834555,0.04852669811905642,0.03920914423275005,0.06660840666659086,0.030540628111563464,0.04825240104363579,0.023863869553435817,0.18694944710038255,0.22058539008837005,0.02101993883329393,0.021881767635884133,0.07802420615743809,0.31627681216067927,0.03485749703532397,0.038284569458791926,0.30425918693779747,0.09979819282179386,0.20261891592857362,0.2574328057261958,0.007386212271519746,0.3727111486788246,0.06481684216942067,0.07848744123516417,0.13016456224971684,0.21474147374439656,0.12813242398145772,0.028204810734695863,0.27949575016164097,0.2906690281856174,0.10818116714733883
