,西峡香菇(1),金针菇(1),杏鲍菇(1),海鲜菇(1),姬菇(1),金针菇(袋)(1),平菇,蟹味菇(2),白玉菇(2),海鲜菇(袋)(1),姬菇(包),杏鲍菇(袋),鲜木耳(1),白玉菇(袋),虫草花,双孢菇,西峡花菇(1),黑皮鸡枞菌,鸡枞菌,银耳(朵),绣球菌,虫草花(袋),猴头菇,秀珍菇,金针菇(袋)(3),蟹味菇(袋),牛排菇,海鲜菇(袋)(4),虫草花(盒)(2),活体银耳,白玉菇(1),杏鲍菇(250克),金针菇(袋)(2),蟹味菇(1),海鲜菇(包),黑牛肝菌(盒),赤松茸(盒),猪肚菇(盒),牛排菇(盒),黑皮鸡枞菌(盒),杏鲍菇(份),海鲜菇(袋)(3),蟹味菇(盒),白玉菇(盒),金针菇(盒),虫草花(份),姬菇(份),双孢菇(份),海鲜菇(份),姬菇(2),海鲜菇(2),鲜木耳(2),西峡香菇(2),西峡花菇(2),金针菇(2),杏鲍菇(2),绣球菌(袋),双孢菇(盒),鲜木耳(份),和丰阳光海鲜菇(包),金针菇(份),黑牛肝菌,西峡香菇(份) ,茶树菇(袋),海鲜菇(袋)(2),菌蔬四宝(份),菌菇火锅套餐(份),蟹味菇与白玉菇双拼(盒),花菇(一人份),鹿茸菇(盒),赤松茸
西峡香菇(1),1.0,0.20234330348555407,0.14558261450774657,0.15122344183007236,0.141264212863962,0.06990551825380502,0.3341082919144097,0.19492465224109956,0.06426866955921687,0.21235267646327066,0.22086076058823287,0.12105221775040817,0.0994834147285858,0.08922257536097437,0.0001628425861443266,0.09962814710914175,0.31340197562804645,0.13232549949687558,0.01718789711550163,0.08670330783149388,0.004100804862274638,0.12220509788406549,0.030994095297169958,0.028512314992817436,0.07096916779444983,0.05146876069658733,0.1817984521401987,0.1508069755634446,0.027820440246910418,0.004640772845997597,0.009060309709250456,0.01849232590604713,0.2713122879392782,0.07245911788128982,0.061998072525277455,0.02622532203145916,0.025101810731777936,0.012126752092901132,0.04067742866095792,0.015610627447815911,0.09839852320604389,0.14007019221033887,0.04299060317888477,0.12821862920237392,0.11956186259783151,0.02006903882189954,0.08355423694654936,0.0038405856401700243,0.07016947263780049,0.14104333871824468,0.1581533245148819,0.15645273942445817,0.11952402928368662,0.06806414773589609,0.14200698452082108,0.07384176949541135,0.040245618436859816,0.18855062704891956,0.038724360614232275,0.018071999037182956,0.028013800114757063,0.032807471719914084,0.1038987389166238,0.07411793135376822,0.07164545684472631,0.006973293842657259,0.02372837480002735,0.12848800805336805,0.004764224244091218,0.024373493408593457,0.04573039899425576
金针菇(1),0.20234330348555407,1.0,0.6929254554934067,0.5239044449289447,0.489145852709914,0.18220004951915295,0.4620484465821608,0.051598170201651986,0.2946620650184987,0.41768386837428556,0.5926815222880691,0.3118895315755484,0.48912215457321945,0.36230930260721483,0.19294342738049017,0.32901098533248413,0.2900143183053301,0.11655497524342275,0.07872911695536224,0.0782211736112576,0.2805468601148878,0.5421718046107223,0.014657930096383926,0.12426518098825046,0.38067076608812667,0.4508940262632506,0.015512484563266657,0.29441693402935143,0.02049940341643068,0.0035594634536309164,0.04518167674938279,0.004767030536279679,0.2150623127752595,0.11892509565267155,0.18802393509959994,0.030767335830912134,0.042174978741171175,0.044018497518077404,0.0728594550161995,0.03076733583091214,0.07252246985018862,0.2532569464030921,0.09158297577076815,0.09231510928309,0.2932782864547906,0.23858325437405242,0.1636362350333496,0.029068598292724752,0.2078623057488277,0.09367573543336101,0.10504752842024648,0.10478292271680509,0.11450953081330811,0.045049278675685644,0.1597466398403729,0.2960494137892404,0.026637167154026243,0.2774677308052594,0.21396844411754032,0.07224281991886419,0.018826711093063865,0.028692900451847046,0.1060199739189543,0.09852429701831787,0.051040020684501995,0.03430776751001256,0.03317090828698629,0.15192306949366619,0.022496923186936694,0.02526792389673338,0.03026735156129828
杏鲍菇(1),0.14558261450774657,0.6929254554934067,1.0,0.7108497800260305,0.6910710907551368,0.09004732110251569,0.1464672760817079,0.0046533156746809395,0.5597967465822391,0.1561382913539327,0.4576626344872307,0.13990622899963828,0.2999938839310903,0.11528222395205735,0.07264445793600145,0.2803075305386625,0.11684015579729917,0.002316180541114872,0.049157155149746154,0.13621807602488617,0.0425877016856334,0.2518203676189201,0.006197559100699113,0.038602980515954115,0.2473905222587166,0.2379488948779324,0.029513038885651675,0.2272165070115943,6.355383892205837e-05,0.009098931192133527,0.022090804708678743,0.029575481178061736,0.19593962045216048,0.11437462371881801,0.17970421224676822,0.02972581608944022,0.04074729344542467,0.04252840639003917,0.07237743930018865,0.02972581608944023,0.07006747717664706,0.24421096507710663,0.08848275683168896,0.08982725375977203,0.3114852353105744,0.25438347182456206,0.15809690689184222,0.02808458332486485,0.20273681906699162,0.090504673490041,0.10149151449548562,0.101235866085758,0.11063321413824109,0.043524294083660736,0.15433898023858167,0.29922784504048344,0.025735459719873562,0.3150884510339191,0.220607549365588,0.0697972938083616,0.018189399127602316,0.02772160341056529,0.1065047157505863,0.11235402951503988,0.11580046781225342,0.03314639892925924,0.03257095240304252,0.177172771011533,0.03153380094934078,0.024412567368332982,0.029242757025508454
海鲜菇(1),0.15122344183007236,0.5239044449289447,0.7108497800260305,1.0,0.7012737623609971,0.05182301798801798,0.055305642505351305,0.015510034390625198,0.36696405685245037,0.08243968104152145,0.4354024867547831,0.11512817196737872,0.25850769976116184,0.06081335816517347,0.16338801210924206,0.418793140449167,0.026766779390525887,0.0007173351645361081,0.09678131506272925,0.10176508238505107,0.05156913487406018,0.07791728905404621,0.02886297905178723,0.027977793229722565,0.1852422171559766,0.11356680602518654,0.008956729531469735,0.13962526208462805,0.02695193161002445,0.016648809537042467,0.11716712857720109,0.031488328349074404,0.16745755871922297,0.10516766613714805,0.16627305047623367,0.027208125289594407,0.037296115334199985,0.0389263731547483,0.06624727915608355,0.027208125289594407,0.06413296415519575,0.22475811878578345,0.08098852279115477,0.08221914471119532,0.2877265226639301,0.2338183267084995,0.14470655532779972,0.02570590020169122,0.18585927143443198,0.08283918894612384,0.09289547623907998,0.09266148051156099,0.10126290031556456,0.03983791203599863,0.14126691421236767,0.2752548368065426,0.02355574058376731,0.2899281934929037,0.20224333822804286,0.0638856645381438,0.016648809537042474,0.025373663638154867,0.09748407382174437,0.10419796990817004,0.10599250252203153,0.03033899463862109,0.029812286771773732,0.1643421464719775,0.0288629790517873,0.022344893395011802,0.026765979933713074
姬菇(1),0.141264212863962,0.489145852709914,0.6910710907551368,0.7012737623609971,1.0,0.025496835376337335,0.036417348699225645,0.028579063458521854,0.36933302621608044,0.0723046566198245,0.4308964163720146,0.0901802250269507,0.23874760166738948,0.08475882509107904,0.13879008394356396,0.3016510227371274,0.05531093128212404,0.0009277003024104791,0.05292499202072841,0.09261171727749912,0.04910775515427729,0.09617822616549129,0.028409942941316296,0.024058823313404535,0.19419418281832412,0.0735159877158188,2.4141410097984686e-05,0.1525798356228095,0.0402351264468843,0.0163874882124799,0.00044704740077468417,0.04568641905119067,0.17396358900323677,0.10351694427892999,0.163663212596064,0.026781063923811972,0.036710711901090515,0.038315381037228854,0.06520745545582349,0.026781063923811972,0.06312632694766027,0.22123029361746724,0.07971731910520612,0.08092862506457893,0.2832103393388079,0.230148291640435,0.14243522724112745,0.025302417906165293,0.18294200633596214,0.08153893702523271,0.09143737986031776,0.09120705695236689,0.09967346803930262,0.03921261231604622,0.13904957506528276,0.27093441026874704,0.023186007401541482,0.28537745252953184,0.19906890723271445,0.0628829089693132,0.016387488212479914,0.024975396159860087,0.09595395437157143,0.10256246849573863,0.10432883395214772,0.02986279084475693,0.029344350235524373,0.16176261624779187,0.02840994294131632,0.02199416578735903,0.026345858524195433
金针菇(袋)(1),0.06990551825380502,0.18220004951915295,0.09004732110251569,0.05182301798801798,0.025496835376337335,1.0,0.23395499018757848,0.02054556158769242,0.015383719811869059,0.4130879191774695,0.22555318572890948,0.11089687484090101,0.1460897996972878,0.1738550435784143,0.08959648844882499,0.009929874406081118,0.007817551553256726,0.12685749959167128,0.018043860681739285,0.03401244874388615,0.026591029186235716,0.13425607052720512,0.008994928098659418,0.19339537001851342,0.048722605794977086,0.03109999897505953,0.023743341733723007,0.07307509184106893,0.004997773525841781,0.004997773525841775,0.005908214443859663,0.005531340378642351,0.061832461750368016,0.031570075711742016,0.04991318135282685,0.00816755383966491,0.011195847812378637,0.01168523171443517,0.019886640975060304,0.00816755383966491,0.019251948896133162,0.06746969945727024,0.024311786029031,0.02468120401285829,0.08637206128479435,0.07018946552787268,0.043439177415294544,0.007716603832850676,0.055792730659843325,0.02486733387729578,0.02788611106308641,0.02781586834395658,0.030397911707805286,0.011958864785817945,0.0424066382858837,0.08262821033485189,0.007071151628542329,0.08703297653865562,0.060711031580071184,0.01917771250846214,0.004997773525841777,0.007616870389575707,0.029263553183999435,0.03127898450005438,0.03181768173055982,0.009107403377292232,0.008949291974376293,0.049333547061741756,0.008664321149268994,0.006707669782567821,0.008034827091288018
平菇,0.3341082919144097,0.4620484465821608,0.1464672760817079,0.055305642505351305,0.036417348699225645,0.23395499018757848,1.0,0.23228456830778232,0.10908633167564179,0.4540166397565275,0.4011015795887183,0.28678126448196195,0.46139415355317465,0.3622274922602196,0.03681490991109484,0.23757383980665284,0.3394498455694827,0.2138778503018975,0.019767868409856115,0.0176645658721994,0.03165227626878014,0.7192648942408619,0.015166195120600197,0.2799338206103821,0.47489971893180694,0.4473828458880152,0.05388300845385923,0.4441384575367015,0.07301632477040028,0.0044390605019421535,0.028038637800569546,0.03304828412404415,0.11727540660643805,0.09840471766116562,0.09808758762564426,0.058728239951333625,0.06714290289093792,0.07643353395171941,0.025425187779341586,0.09382527578090409,0.11305508774995836,0.09382763462024404,0.037568174704197134,0.07853558722405814,0.24719078507847286,0.19076970768482632,0.13482229658430547,0.022151268131025973,0.1777566786265385,0.0623726864217171,0.06810459521074785,0.07940040310234442,0.09833140687911482,0.011860720911098585,0.12954304937922026,0.2628856203176125,0.016245115851681622,0.28128367813317806,0.1962117521341809,0.062036217152248475,0.016166837603289373,0.02463911299638837,0.09466197489236093,0.10118150816428068,0.10250255718476446,0.029460700975547618,0.02894924095020764,0.15920077171065747,0.025943565742885408,0.0216980236320333,0.025991122663663487
蟹味菇(2),0.19492465224109956,0.051598170201651986,0.0046533156746809395,0.015510034390625198,0.028579063458521854,0.02054556158769242,0.23228456830778232,1.0,0.03149441363502281,0.11308015728117958,0.056141645322004004,0.15117331611074458,0.06539628058492937,0.029759053812528448,0.014408770447462048,0.11678714878245644,0.008445206149332696,0.1253240964953934,0.0069442882110263915,0.051302891865620405,0.010266317878103937,0.13286886855381397,0.007612230316878545,0.040180057945715754,0.09524014376961788,0.0110876070226603,0.07767335888259232,0.021084101885756653,0.004390904087565541,0.004390904087565537,0.011108055278748575,0.00897589555905276,0.04659268418152349,0.027736585855817456,0.034542319420659794,0.00717578444772682,0.009836358864391572,0.010266317878103925,0.017471846752126128,0.007175784447726823,0.009268785308130911,0.22672372708428348,0.015280689199010829,0.533240137267051,0.013071593547861398,0.015244687432013924,0.03816444676555764,0.006779592379804989,0.04901793325448615,0.02184774428134663,0.024499957515099487,0.02443824422598113,0.026706755334372095,0.010506724244141761,0.037257286755113264,0.07259483540651601,0.006212516119231847,0.07646473984077003,0.053339014932725665,0.016849002022231555,0.004390904087565538,0.00669196936498073,0.025710139650770326,0.027480841255818136,0.02795412558115941,0.008001509974329076,0.007862597716347662,0.04334307513684787,0.007612230316878562,0.005893171131910426,0.0070591744374964875
白玉菇(2),0.06426866955921687,0.2946620650184987,0.5597967465822391,0.36696405685245037,0.36933302621608044,0.015383719811869059,0.10908633167564179,0.03149441363502281,1.0,0.038719177804980784,0.19596441253408337,0.0440618272723262,0.09802812823289675,0.0938092923266767,0.04955064438855154,0.09109480644220513,0.07712343275451615,0.021731735292350843,0.01036898009553917,0.067877862175909,0.015329324258678029,0.0667605228167832,0.011366329023188376,0.022550016499716233,0.07663669911829134,0.04208864903834445,0.017784791335211284,0.09854319273630764,0.0065563518825581275,0.006556351882558113,0.016586178537723803,0.01340250858881065,0.08138949292718602,0.0414153471050533,0.06547883349155013,0.01071464257347726,0.014687323765668238,0.015329324258677992,0.02608838021979682,0.010714642573477267,0.02525575653546966,0.08851043144813141,0.03189352684262357,0.032378149501332144,0.11330758060102539,0.0920783689116659,0.05698588204345928,0.010123061760375475,0.07319194693463259,0.03262232480875555,0.03658252136082886,0.03649037313093782,0.03987763843655487,0.01568829104527091,0.05563134090030339,0.10839619274066051,0.00927632235673161,0.114174605276405,0.0796440423188249,0.02515836919337735,0.0065563518825581205,0.009992225990169225,0.038389525058748895,0.04103347777786653,0.04174017018461337,0.011947588454974855,0.011740169293461868,0.06471843761608664,0.011366329023188354,0.008799487047406665,0.010540524386231055
海鲜菇(袋)(1),0.21235267646327066,0.41768386837428556,0.1561382913539327,0.08243968104152145,0.0723046566198245,0.4130879191774695,0.4540166397565275,0.11308015728117958,0.038719177804980784,1.0,0.44462797863390013,0.21636336112533963,0.2901080730536584,0.29092146455376666,0.07227563582029076,0.1357199304141838,0.002424392141604415,0.28238843431453503,0.05481804195377587,0.005610705679719841,0.12075179968921468,0.3838294209610872,0.08253574614563752,0.28071112697412254,0.04612590224006791,0.04517467859403774,0.10688531642687628,0.12275172415135749,0.008910749181116097,0.00891074918111608,0.022542303932167995,0.008762371179264114,0.10989338423370335,0.056287669867713365,0.08899239582723771,0.014562289249843013,0.01996156712788436,0.020834111108109333,0.035456762669897515,0.01456228924984301,0.03432514238071908,0.12029468043727738,0.04334654748349567,0.04400519897697722,0.15399652873129352,0.12514387041380098,0.07744961082775317,0.013758270743768893,0.09947530164558525,0.04433705805953514,0.04971936804160346,0.049594129223011894,0.054197767357283926,0.021321983488508958,0.07560865161775804,0.14732145299728444,0.012607465756057569,0.15517490346689927,0.10824435563948749,0.03419278307567495,0.008910749181116093,0.013580451622234608,0.05217526989219683,0.055768670604788656,0.05672913747684187,0.016237988129450535,0.015956084388359895,0.0879589404779854,0.015447997430570218,0.011959398062589542,0.014325644920463898
