,0
大白菜,19187.218
上海青,7606.756
菜心,4496.717
云南生菜,15910.461
甜白菜,4685.261
云南油麦菜,10305.364
苋菜,5100.061
菠菜,5216.461
红薯尖,5159.433
竹叶菜,7240.764000000001
黄白菜(2),7987.99
外地茼蒿,732.615
小白菜,1707.303
木耳菜,1566.6399999999999
娃娃菜,8982.0
黄心菜(1),2911.2989999999995
东门口小白菜,1543.4779999999998
南瓜尖,18.428
牛首油菜,3836.5660000000003
快菜,91.27199999999999
奶白菜,5816.308
蔡甸藜蒿,939.575
紫苏,30.172
茼蒿,4110.162
本地上海青,596.697
萝卜叶,415.325
枝江红菜苔,4962.454
牛首生菜,899.837
荠菜,15.886999999999999
四川红香椿,333.223
豌豆尖,85.048
白菜苔,718.6759999999999
随州泡泡青,675.221
丝瓜尖,14.227
本地黄心油菜,1375.122
紫贝菜,27.022
田七,45.252
油菜苔,40.726
青菜苔,30.275
马齿苋,94.315
甘蓝叶,0.943
面条菜,12.936
薄荷叶,7.568
鲜粽子叶,6.3199999999999985
黑油菜,101.12499999999999
冰草,16.337000000000003
芥菜,51.735
菊花油菜,8.472
大芥兰,7.48
奶白菜苗,16.829
芥兰,0.671
蒲公英,4.232
黄花菜,1.784
小青菜(1),3267.993
双沟白菜,2.886
菜心(份),2053.0
茼蒿(份),587.0
小青菜(2),296.0
云南油麦菜(份),8848.0
菠菜(份),6342.0
上海青(份),3070.0
云南生菜(份),14325.0
枝江红菜苔(份),313.0
洪山菜苔,25.0
襄甜红菜苔(袋),41.0
紫苏(份),40.0
马兰头,3.3899999999999997
竹叶菜(份),1076.0
鱼腥草,28.601
春菜,24.996000000000002
红薯尖(份),727.0
蔡甸藜蒿(份),65.0
红橡叶,0.419
绿牛油,1.153
红珊瑚(粗叶),0.682
保康高山大白菜,6484.735999999999
苋菜(份),426.0
槐花,9.3
奶白菜(份),6931.0
黄心菜(2),1882.768
小青菜(份),4057.0
小白菜(份),341.0
鲜粽叶(袋)(2),8.0
芝麻苋菜,9.381
鲜粽叶,6.009
鲜粽叶(袋)(1),200.0
艾蒿,10.511999999999999
鱼腥草(份),470.0
外地茼蒿(份),127.0
本地小毛白菜,121.02
黄白菜(1),155.496
龙牙菜,186.83100000000002
冰草(盒),29.0
洪山菜薹珍品手提袋,3.0
洪山菜薹莲藕拼装礼盒,3.0
白蒿,2.2239999999999998
大白菜秧,16.538
鲜粽叶(袋)(3),128.0
木耳菜(份),27.0
