,0
泡泡椒(精品),9703.125
青尖椒,1186.531
红椒(1),3457.8750000000005
七彩椒(1),263.19199999999995
红灯笼椒(1),278.61199999999997
青线椒,2219.781
红杭椒,658.56
小米椒,1447.3530000000003
灯笼椒(1),212.043
螺丝椒,7792.1810000000005
红尖椒,438.593
青杭椒(2),128.5
芜湖青椒(1),28164.331
组合椒系列,641.0
青杭椒(1),1.817
红线椒,27.713
小皱皮,163.64
余干椒,33.907000000000004
辣妹子,119.64499999999998
紫尖椒,1.754
小米椒(份),10833.0
青尖椒(份),932.0
红灯笼椒(份),13.0
灯笼椒(份),6.0
七彩椒(份),18.0
小皱皮(份),5175.0
水果辣椒,28.570999999999998
水果辣椒(橙色),0.415
青线椒(份),2307.0
青杭椒(份),457.0
红杭椒(份),707.0
红尖椒(份),953.0
水果辣椒(份),283.0
螺丝椒(份),8235.0
灯笼椒(2),76.596
红灯笼椒(2),214.80999999999997
七彩椒(2),370.033
姜蒜小米椒组合装(小份),1868.0
紫螺丝椒,6.843
红椒(份),93.0
青红杭椒组合装(份),1257.0
红椒(2),769.2080000000001
青红尖椒组合装(份),45.0
