,0
西峡香菇(1),11920.227
金针菇(1),4697.47
杏鲍菇(1),2404.9770000000003
海鲜菇(1),502.16499999999996
姬菇(1),375.222
金针菇(袋)(1),2149.0
平菇,2542.959
蟹味菇(2),95.0
白玉菇(2),251.0
海鲜菇(袋)(1),1266.0
姬菇(包),1071.0
杏鲍菇(袋),1343.0
鲜木耳(1),212.171
白玉菇(袋),2927.0
虫草花,39.977000000000004
双孢菇,627.718
西峡花菇(1),2810.7160000000003
黑皮鸡枞菌,5.795000000000001
鸡枞菌,1.215
银耳(朵),287.0
绣球菌,7.0
虫草花(袋),978.0
猴头菇,3.0
秀珍菇,14.708
金针菇(袋)(3),2549.0
蟹味菇(袋),399.0
牛排菇,6.602
海鲜菇(袋)(4),2149.0
虫草花(盒)(2),1.0
活体银耳,1.0
白玉菇(1),22.0
杏鲍菇(250克),10.0
金针菇(袋)(2),3175.0
蟹味菇(1),102.0
海鲜菇(包),1303.0
黑牛肝菌(盒),4.0
赤松茸(盒),5.0
猪肚菇(盒),7.0
牛排菇(盒),34.0
黑皮鸡枞菌(盒),4.0
杏鲍菇(份),102.0
海鲜菇(袋)(3),1775.0
蟹味菇(盒),81.0
白玉菇(盒),168.0
金针菇(盒),15596.0
虫草花(份),1109.0
姬菇(份),682.0
双孢菇(份),10.0
海鲜菇(份),1301.0
姬菇(2),16.953
海鲜菇(2),51.894999999999996
鲜木耳(2),28.535
西峡香菇(2),413.841
西峡花菇(2),9.239999999999998
金针菇(2),473.315
杏鲍菇(2),1304.552
绣球菌(袋),2.0
双孢菇(盒),4229.0
鲜木耳(份),741.0
和丰阳光海鲜菇(包),109.0
金针菇(份),1.0
黑牛肝菌,1.084
西峡香菇(份) ,379.0
茶树菇(袋),90.0
海鲜菇(袋)(2),708.0
菌蔬四宝(份),13.0
菌菇火锅套餐(份),8.0
蟹味菇与白玉菇双拼(盒),371.0
花菇(一人份),3.0
鹿茸菇(盒),3.0
赤松茸,2.388
