销售日期,花叶类,花菜类,水生根茎类,茄类,辣椒类,食用菌
2020/7/1,7.321202325,12.70433105,14.49150515,4.998529994,9.906670143,10.42279089
2020/7/2,7.106525948,12.42591539,11.548,5.344638032,10.13720635,12.49080602
2020/7/3,7.335747121,11.77317235,8.012223151,5.466987965,10.43787216,12.8715659
2020/7/4,7.783183353,12.61517732,21.83364589,5.737168591,10.16727689,12.2445855
2020/7/5,7.026289979,12.58214659,10,6.654637958,10.31754183,10.0067447
2020/7/6,7.722472668,11.85140329,9.962997734,6.554886582,10.99640094,12.01643748
2020/7/7,7.720973892,11.51918075,10,5.818634778,12.58073105,11.84044711
2020/7/8,7.933702563,11.71179539,14.66138614,5.855386942,11.65848512,12.85978894
2020/7/9,7.446462049,12.06399066,10,7.928706454,10.45455318,12.26640061
2020/7/10,7.259660908,10.58573078,14.26375623,7.087974115,12.12824589,11.36426416
2020/7/11,7.768326533,10.24333499,14.79875672,5.9347423,12.33894759,13.40623301
2020/7/12,7.31536532,10.85072261,17.71905102,7.130681957,11.81063214,12.12882595
2020/7/13,7.452651547,9.846890221,14.14092202,6.910890286,10.82209667,12.91765013
2020/7/14,7.214954958,9.707631785,15.07899412,6.488968832,10.63955802,11.97725488
2020/7/15,6.797310087,9.881668511,14.79221528,7.192821588,10.22126673,11.70812636
2020/7/16,7.142148255,10.57612167,14.3319623,7.258233657,10.51603997,11.97325898
2020/7/17,6.867201922,10.31109326,14.36785681,7.894150493,11.31456944,12.65265855
2020/7/18,7.356105591,10.38393956,14.51909196,6.956629849,11.61027266,12.28529543
2020/7/19,7.181016039,10.59891684,14.33282992,7.750972524,10.77568323,14.01576653
2020/7/20,6.892578916,8.673424554,14.06076665,8.265817303,10.05723682,11.92913317
2020/7/21,7.407238941,9.416096317,16.72809165,7.615782092,10.03037391,12.42286461
2020/7/22,7.081131191,9.901041453,16.38123502,7.71915145,9.84011487,11.14716848
2020/7/23,7.112798024,10.65890425,6.82121511,7.676272031,11.12075678,10.99250515
2020/7/24,7.600566567,10.73100146,16.81683986,8.273711753,10.24932789,11.6559135
2020/7/25,7.950933578,10.81290991,14.45855718,7.034141966,10.10488185,12.07454524
2020/7/26,8.15489405,11.0996179,18.05302587,7.410337884,10.37175513,12.38269023
2020/7/27,7.923483781,10.80323025,14.30450623,7.360590792,10.87908462,12.39692101
2020/7/28,8.017245214,10.85479291,11.94830575,7.775674269,10.1185982,11.54455456
2020/7/29,7.82570498,11.53324254,12.20477496,7.951004243,9.881116202,12.16813956
2020/7/30,7.81158801,10.27322896,11.91121653,7.686787156,9.506306639,11.3895222
2020/7/31,7.78145522,10.46694453,11.19137551,7.776223161,10.7067682,11.47140632
2020/8/1,7.985676628,11.18427026,11.09594998,7.252826555,10.47711923,12.44640779
2020/8/2,8.594160518,11.30664987,11.17899348,6.934981235,9.726621838,11.23779771
2020/8/3,8.086006264,11.07522622,12.57586628,6.703834834,9.881055577,12.36768296
2020/8/4,7.380425749,10.87685813,12.19270452,7.47396293,9.627953384,12.60095362
2020/8/5,7.740183719,10.23148679,12.02741003,7.451689845,9.835391407,12.05966264
2020/8/6,7.61907853,9.662135352,11.55614962,8,9.878690561,12.27269959
2020/8/7,8.213799093,10.89272944,12.30068857,5.138323134,10.04347992,10.79505698
2020/8/8,8.052964864,10.65871105,12.23225665,5.068314409,9.772735612,9.37293801
2020/8/9,8.010559081,11.94019243,11.17173745,5.011092891,9.900637859,12.73195298
2020/8/10,8.229984973,11.63372781,11.17383567,4.976208459,9.924148092,13.77829556
2020/8/11,7.448143858,11.43048029,12.13839085,4.986119385,10.20288981,13.23831372
2020/8/12,7.545939858,11.61090582,11.4036337,6.791441029,10.10559613,13.44654482
2020/8/13,7.228738417,10.42321143,12.11764645,6.838599762,9.927936796,13.47898177
2020/8/14,7.375864951,10.21714861,8.445847087,7.298234019,10.15272523,10.85361093
2020/8/15,7.888343613,8.576971529,10.63357772,7.366690543,10.14586838,11.35426355
2020/8/16,7.562478052,10.53344291,10.00237998,7.067278667,9.897322769,12.44478972
2020/8/17,6.679923759,10.34120466,10.84587836,7.398354944,9.471525503,11.35510144
2020/8/18,7.115501104,9.864449213,9.563765917,7.625885535,9.427210088,11.45383673
2020/8/19,7.095844948,9.230358564,10.48693036,7.665205786,8.137396656,12.39832821
2020/8/20,7.207864447,9.057726299,9.71382043,8.688937482,8.334417337,11.18913823
2020/8/21,7.491775966,10.14062562,7.271194867,8.340001347,8.157398061,12.166396
2020/8/22,7.335080068,10.08760691,6.608846909,9.707678654,8.215135144,12.56671009
2020/8/23,7.601525509,10.83449326,6.717393664,9.606221997,8.222634825,12.04468185
2020/8/24,6.81958925,10.51088934,9.908859887,8.675634442,7.835606053,11.93187285
2020/8/25,5.56683662,11.04501581,10.63196092,9.901641458,7.833578018,11.51853986
2020/8/26,6.754921675,11.08815904,10.34319789,9.916834841,7.824659864,14.14747144
2020/8/27,7.908661504,10.11316023,12.3201519,10.01474201,7.884955516,11.90155773
2020/8/28,7.584452808,9.693363386,12.33130447,10.53689474,6.363339953,11.71757308
2020/8/29,7.870846456,10.2765699,8.272841645,10.58777506,6.49369279,11.66450321
2020/8/30,7.808270674,10.09792149,9.542809532,10.1329421,6.570883956,10.39728943
2020/8/31,7.65337288,9.994737034,8.498139719,9.868406197,6.703517145,13.51747811
2020/9/1,7.536440273,10.14486734,8.631272819,10.00862167,6.673023492,12.38111755
2020/9/2,7.530415585,10.17553466,8.620143805,9.968572046,6.666719861,10.79916489
2020/9/3,6.948547267,9.933921271,8.323580895,9.978408129,6.784875859,10.68674709
2020/9/4,7.24175798,9.870591264,8.832942591,9.212672367,6.727002916,11.72965644
2020/9/5,7.514453095,10.07228332,7.780429572,9.655687646,7.150120881,11.7126977
