证券代码_R_SecuCode,公司代码_CompanyCode,上市公司代码_Comcd,股票代码_Stkcd,最新股票名称_Lstknm,交易时股票代码_Stkcdotrd,上市状态_Listedstate,证监会行业门类代码_Csrciccd1,证监会行业大类代码_Csrciccd2,日期_Date,前收盘价_PrevClPr,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日振幅(%)_Dampltd,总股数日换手率(%)_DFulTurnR,流通股日换手率(%)_DTrdTurnR,股数变动日_Capchgdt,公司国有股_Comstateshr,公司法人股_Comlpshr,总股数_Fullshr,流通股_Trdshr,已上市流通股_Lsttrdshr,除权除息日_Exdt,现金红利(元)_Dividend,股票拆细比例(股)_Stksprate,缩股比例(股)_Shrcmprsrate,送股比例(股)_Stkdrate,转增比例(股)_Capissurate,增发价格(元)_Snipr,增发新股数(股)_Snivol,配股比例(股)_Rigoffrate,配股价格(元)_Rigoffpr,实际配股数(股)_Arigoffshr,对价派现金额(元)_Pcash,对价送股比例_Pshrrate,对价送股比例_公司送股_Pshrrate_C,对价送股比例_非流通股东送股_Pshrrate_S,对价转增比例_Pcapissurate,汇率_Ex,日收益率_Dret,日资本收益率_Daret,等权平均市场日收益率_Dreteq,流通市值加权平均市场日收益率_Drettmv,总市值加权平均市场日收益率_Dretmc,等权平均市场日资本收益率_Dareteq,流通市值加权平均市场日资本收益_Darettmv,总市值加权平均日资本收益_Daretmc,日无风险收益率_DRfRet,市盈率_PE,市净率_PB,市现率_PCF,市销率_PS
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-15,7.44,7.45,7.5,7.33,7.36,93.1674,7.36,14601439,107721009.3,2.2849,0.7948,0.9896,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0108,-0.0108,0.0107,-0.0031,-0.0019,0.0107,-0.0031,-0.0019,0.000067,-67.58,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-16,7.36,7.37,7.37,7.19,7.2,91.142,7.2,17457981,126930403,2.4457,0.9503,1.1832,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0217,-0.0217,-0.0096,-0.0044,-0.0052,-0.0096,-0.0044,-0.0052,0.000067,-66.12,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-17,7.2,7.2,7.31,7.19,7.28,92.1547,7.28,10995203,79745349.61,1.6667,0.5985,0.7452,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0111,0.0111,0.0152,0.011,0.011,0.0152,0.011,0.011,0.000068,-66.85,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-18,7.28,7.3,7.56,7.28,7.55,95.5725,7.55,24347862,180371576.3,3.8462,1.3253,1.6502,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0371,0.0371,-0.0081,-0.0064,-0.0066,-0.0081,-0.0064,-0.0066,0.000068,-69.33,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-19,7.55,7.61,7.89,7.61,7.82,98.9903,7.82,39867222,310417769,3.7086,2.17,2.702,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0358,0.0358,0.012,0.0117,0.0119,0.012,0.0117,0.0119,0.000068,-71.81,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-22,7.82,7.72,7.87,7.69,7.8,98.7372,7.8,26551904,206096100,2.3018,1.4452,1.7995,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0026,-0.0026,0.0092,0.0145,0.0142,0.0092,0.0145,0.0142,0.000068,-71.63,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-23,7.8,7.8,7.88,7.73,7.74,97.9777,7.74,22179391,173085794.8,1.9231,1.2072,1.5032,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0077,-0.0077,0.0042,-0.0024,-0.002,0.0041,-0.0024,-0.002,0.000068,-71.07,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-24,7.74,7.69,7.79,7.62,7.77,98.3574,7.77,18571777,143034083.5,2.1964,1.0109,1.2587,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0039,0.0039,0.0044,-0.0005,0,0.0044,-0.0005,0,0.000068,-71.35,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-25,7.77,7.8,7.92,7.79,7.81,98.8638,7.81,22939015,179787221.6,1.6731,1.2486,1.5547,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0051,0.0051,0.0002,-0.0033,-0.0033,0.0001,-0.0035,-0.0034,0.000068,-71.72,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-26,7.81,7.71,7.76,7.57,7.62,96.4586,7.62,21091139,161505346.3,2.4328,1.148,1.4294,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0243,-0.0243,-0.0019,-0.0018,-0.002,-0.0019,-0.0018,-0.002,0.000068,-69.97,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-29,7.62,7.51,7.53,7.42,7.51,95.0662,7.51,18843579,140644092.2,1.4436,1.0257,1.2771,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0144,-0.0144,0.0006,0.004,0.0039,0.0006,0.004,0.0039,0.000068,-68.96,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-11-30,7.51,7.55,7.85,7.53,7.61,96.332,7.61,22380377,171798744.4,4.261,1.2182,1.5168,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0133,0.0133,0.0083,0.0014,0.0008,0.0083,0.0014,0.0008,0.000068,-69.88,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-01,7.61,7.58,7.69,7.49,7.67,97.0916,7.67,13636845,103617516.4,2.6281,0.7423,0.9242,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0079,0.0079,0.0114,0.0018,0.0019,0.0114,0.0018,0.0019,0.000068,-70.43,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-02,7.67,7.63,7.67,7.54,7.56,95.6991,7.56,13867582,105271118.8,1.6949,0.7548,0.9399,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0143,-0.0143,-0.0134,-0.0056,-0.0062,-0.0134,-0.0056,-0.0062,0.000068,-69.42,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-03,7.56,7.58,7.65,7.45,7.62,96.4586,7.62,14543081,110071828.7,2.6455,0.7916,0.9857,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0079,0.0079,0.0031,0.0077,0.0072,0.0031,0.0077,0.0072,0.000068,-69.97,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-06,7.62,7.61,7.73,7.55,7.55,95.5725,7.55,20674448,157847633.6,2.3622,1.1253,1.4012,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0092,-0.0092,-0.0167,-0.0114,-0.0123,-0.0167,-0.0114,-0.0123,0.000068,-69.33,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-07,7.55,7.6,7.63,7.32,7.39,93.5471,7.39,22195668,164873590.5,4.106,1.2081,1.5043,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,-0.0212,-0.0212,-0.0068,-0.0082,-0.0072,-0.0068,-0.0082,-0.0072,0.000068,-67.86,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-08,7.39,7.42,7.5,7.39,7.5,94.9396,7.5,12511092,93320009.5,1.4885,0.681,0.8479,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0149,0.0149,0.0122,0.018,0.0177,0.0122,0.018,0.0177,0.000068,-68.87,2.65,34.38,15.26
90_000426,142,C000426,000426,兴业矿业,000426,Norm,B,B09,2021-12-09,7.5,7.45,7.53,7.45,7.51,95.0662,7.51,14111543,105772563,1.0667,0.7681,0.9564,,0,199470374,1837192219,1837192219,1475477242,,,,,,,,,,,,,,,,,1,0.0013,0.0013,0.0046,0.009,0.0087,0.0046,0.009,0.0087,0.000068,-68.96,2.65,34.38,15.26
