,前收盘价_PrevClPr,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日振幅(%)_Dampltd,总股数日换手率(%)_DFulTurnR,流通股日换手率(%)_DTrdTurnR,日收益率_Dret,日资本收益率_Daret,等权平均市场日收益率_Dreteq,流通市值加权平均市场日收益率_Drettmv,总市值加权平均市场日收益率_Dretmc,等权平均市场日资本收益率_Dareteq,流通市值加权平均市场日资本收益_Darettmv,总市值加权平均日资本收益_Daretmc,日无风险收益率_DRfRet,市盈率_PE,市净率_PB,市现率_PCF,市销率_PS
前收盘价_PrevClPr,1.0,0.9947114692919415,0.9840559462835027,0.9835078880512231,0.9723060056496328,0.9703363919697384,0.9703370476871696,0.6722537001583172,0.7268208482572984,0.4862337666812758,0.6722531076556824,0.6722531076556824,0.11162558206376103,0.11122772103831212,0.05228035234529592,0.061890636056466476,0.06514410143079416,0.05164968392645026,0.0612625392747839,0.06434654507728885,0.5081554220247937,0.4716213523178649,0.4812154026494955,0.2454445273076359,0.5020356707728075
开盘价_Oppr,0.9947114692919415,1.0,0.9895823520934214,0.9902085395419383,0.979070068492996,0.9773251428069322,0.9773257672900101,0.6760188813992355,0.7329622011127422,0.4852448470943945,0.6760183422784867,0.6760183422784867,0.062148111949582405,0.061753540070789044,0.03308962020663461,0.044187521342499855,0.047647981484342995,0.03237703443813376,0.04347881455957501,0.04679520989552608,0.5120415444255977,0.4716600485272942,0.4805791211020125,0.2419450032432007,0.5018685011501446
最高价_Hipr,0.9840559462835027,0.9895823520934214,1.0,0.9883327110955258,0.9918587794550454,0.9901010367438667,0.9901014334669958,0.7356794473809732,0.7878973628467506,0.5612512120657122,0.7356789248622033,0.7356789248622033,0.038799951622154015,0.039128896473145415,0.011238981299418372,0.013483569234882819,0.016965257781822927,0.010721108222044693,0.013292068051810496,0.016557229554771857,0.5095219624184012,0.4900512922225698,0.4775093638318881,0.2571217781446298,0.5056148256441297
最低价_Lopr,0.9835078880512231,0.9902085395419383,0.9883327110955258,1.0,0.9899123572895239,0.9891662242983668,0.9891664984915911,0.6536840520777584,0.7149682286185843,0.43042235262007317,0.653683502965826,0.653683502965826,0.03036256645367257,0.03074468914585352,0.017384011924478762,0.000784779310792063,0.002297757267193032,0.018113087765528352,0.0013963991734477952,0.0015092011607101656,0.5148774220168668,0.45359319101017553,0.47108227320226315,0.21730125923940888,0.485750487054497
收盘价_Clpr,0.9723060056496328,0.979070068492996,0.9918587794550454,0.9899123572895239,1.0,0.9988594992693061,0.9988595511478823,0.712485145427523,0.7671434029245552,0.5096657034138214,0.7124847488179152,0.7124847488179152,0.12121032429186686,0.1215860062655181,0.050431942836437045,0.047528439525225896,0.04454216963216668,0.05099285896997334,0.04779479583867272,0.04504412675209775,0.5094422466565627,0.47723907870824,0.4727434819406035,0.2386519883914734,0.49436443456976586
复权价1(元)_AdjClpr1,0.9703363919697384,0.9773251428069322,0.9901010367438667,0.9891662242983668,0.9988594992693061,1.0,0.9999999994695926,0.7052643829164085,0.7616166516095882,0.50272737219966,0.7052639815221927,0.7052639815221927,0.12470608083978209,0.12503614840201865,0.05103649850535884,0.048159720839201677,0.045164060994690905,0.05168526465019001,0.048403142081524776,0.04564722922989102,0.4864248266850646,0.456740920764657,0.43885257584597226,0.22372754111987658,0.46667182161114
复权价2(元)_AdjClpr2,0.9703370476871696,0.9773257672900101,0.9901014334669958,0.9891664984915911,0.9988595511478823,0.9999999994695926,1.0,0.7052644899570255,0.7616165750689077,0.5027282250081796,0.705264088514907,0.705264088514907,0.12470356387083605,0.12503363687609992,0.05103569315759791,0.048159008252455164,0.045163312117241027,0.051684482586305334,0.048402471743504843,0.045646527400128714,0.48642559187733875,0.4567408144209069,0.43885400907263666,0.22372955002568148,0.46667334086537765
成交量_Trdvol,0.6722537001583172,0.6760188813992355,0.7356794473809732,0.6536840520777584,0.712485145427523,0.7052643829164085,0.7052644899570255,1.0,0.9882344751736906,0.8057080783478858,0.9999999996397622,0.9999999996397622,0.17763568261046844,0.1771942389547649,0.0033121306719240077,0.0038166027604991776,0.001510290451492439,0.0044092259104897705,0.001187818148484486,0.0007075211850905165,0.3031532629091847,0.5590000389958468,0.3680283028806348,0.36536362393772825,0.4470456666331035
成交金额_Trdsum,0.7268208482572984,0.7329622011127422,0.7878973628467506,0.7149682286185843,0.7671434029245552,0.7616166516095882,0.7616165750689077,0.9882344751736906,1.0,0.7734836893674365,0.9882346161197887,0.9882346161197887,0.1735556626907078,0.17336743684949635,0.00569192158752258,0.0016105100999361415,0.004439757790246628,0.0063787419075124205,0.0035572278254974304,0.0059959001172834245,0.3212352336008298,0.5708616003083521,0.3695490065209047,0.3534411265073599,0.4499351261154573
日振幅(%)_Dampltd,0.4862337666812758,0.4852448470943945,0.5612512120657122,0.43042235262007317,0.5096657034138214,0.50272737219966,0.5027282250081796,0.8057080783478858,0.7734836893674365,1.0,0.8057077072212921,0.8057077072212921,0.11571771938697707,0.11550965688051365,0.14711621894648189,0.07121462091122971,0.07500482623941733,0.1480813677700814,0.07344487275743455,0.0769070738451995,0.24399351590938897,0.4190005414588836,0.2883756104444755,0.336787781073463,0.36333805546577863
总股数日换手率(%)_DFulTurnR,0.6722531076556824,0.6760183422784867,0.7356789248622033,0.653683502965826,0.7124847488179152,0.7052639815221927,0.705264088514907,0.9999999996397622,0.9882346161197887,0.8057077072212921,1.0,1.0,0.17763654728759642,0.17719514077024504,0.003310864432504382,0.003819087378013714,0.0015126869267948367,0.004407970941820755,0.001190329164969684,0.0007051027144482164,0.30315136039631035,0.5589980998685897,0.3680281962646545,0.36536092059701447,0.44704358175230646
流通股日换手率(%)_DTrdTurnR,0.6722531076556824,0.6760183422784867,0.7356789248622033,0.653683502965826,0.7124847488179152,0.7052639815221927,0.705264088514907,0.9999999996397622,0.9882346161197887,0.8057077072212921,1.0,1.0,0.17763654728759642,0.17719514077024504,0.003310864432504382,0.003819087378013714,0.0015126869267948367,0.004407970941820755,0.001190329164969684,0.0007051027144482164,0.30315136039631035,0.5589980998685897,0.3680281962646545,0.36536092059701447,0.44704358175230646
日收益率_Dret,0.11162558206376103,0.062148111949582405,0.038799951622154015,0.03036256645367257,0.12121032429186686,0.12470608083978209,0.12470356387083605,0.17763568261046844,0.1735556626907078,0.11571771938697707,0.17763654728759642,0.17763654728759642,1.0,0.9997797606871065,0.4764323264452876,0.5058885355194666,0.5073329525384681,0.4760955445022622,0.5041994104017475,0.5059131471865059,0.009743568416540067,0.026303175797217138,0.036080787059055666,0.02476531530783006,0.029703452948097876
日资本收益率_Daret,0.11122772103831212,0.061753540070789044,0.039128896473145415,0.03074468914585352,0.1215860062655181,0.12503614840201865,0.12503363687609992,0.1771942389547649,0.17336743684949635,0.11550965688051365,0.17719514077024504,0.17719514077024504,0.9997797606871065,1.0,0.47640744531921425,0.5060758721271214,0.5075003764773616,0.47610048455507115,0.5044855926226148,0.5061725780757569,0.010397314286758278,0.02713559155313127,0.036033090798096856,0.024510477854944087,0.029244656235648408
等权平均市场日收益率_Dreteq,0.05228035234529592,0.03308962020663461,0.011238981299418372,0.017384011924478762,0.050431942836437045,0.05103649850535884,0.05103569315759791,0.0033121306719240077,0.00569192158752258,0.14711621894648189,0.003310864432504382,0.003310864432504382,0.4764323264452876,0.47640744531921425,1.0,0.8119192994508971,0.824542594975014,0.9999552656730655,0.8116715699201545,0.8245963915642704,0.0019649302373492355,0.03535162584821276,0.009273920298671244,0.014923982201822826,0.005450375172349366
流通市值加权平均市场日收益率_Drettmv,0.061890636056466476,0.044187521342499855,0.013483569234882819,0.000784779310792063,0.047528439525225896,0.048159720839201677,0.048159008252455164,0.0038166027604991776,0.0016105100999361415,0.07121462091122971,0.003819087378013714,0.003819087378013714,0.5058885355194666,0.5060758721271214,0.8119192994508971,1.0,0.9991485501798688,0.8118085946197624,0.9994625028129436,0.9987478041040572,0.003633135529971893,0.03444461928932754,0.021160000317409226,0.003103466287219791,0.011424801698560834
总市值加权平均市场日收益率_Dretmc,0.06514410143079416,0.047647981484342995,0.016965257781822927,0.002297757267193032,0.04454216963216668,0.045164060994690905,0.045163312117241027,0.001510290451492439,0.004439757790246628,0.07500482623941733,0.0015126869267948367,0.0015126869267948367,0.5073329525384681,0.5075003764773616,0.824542594975014,0.9991485501798688,1.0,0.8243981091429063,0.998509888983672,0.999507615226922,0.0023590576321284038,0.033606148287100825,0.0224511690733977,0.003588513724447397,0.012412058134625474
等权平均市场日资本收益率_Dareteq,0.05164968392645026,0.03237703443813376,0.010721108222044693,0.018113087765528352,0.05099285896997334,0.05168526465019001,0.051684482586305334,0.0044092259104897705,0.0063787419075124205,0.1480813677700814,0.004407970941820755,0.004407970941820755,0.4760955445022622,0.47610048455507115,0.9999552656730655,0.8118085946197624,0.8243981091429063,1.0,0.8117407817714223,0.8246246124297234,0.003486371793827127,0.03621785198682581,0.00968648666177286,0.013469774407295554,0.003919106373827682
流通市值加权平均市场日资本收益_Darettmv,0.0612625392747839,0.04347881455957501,0.013292068051810496,0.0013963991734477952,0.04779479583867272,0.048403142081524776,0.048402471743504843,0.001187818148484486,0.0035572278254974304,0.07344487275743455,0.001190329164969684,0.001190329164969684,0.5041994104017475,0.5044855926226148,0.8116715699201545,0.9994625028129436,0.998509888983672,0.8117407817714223,1.0,0.9991278205088112,0.007798446036679192,0.036690913850504416,0.021173029948034335,0.0002148121830322123,0.008107101676585777
总市值加权平均日资本收益_Daretmc,0.06434654507728885,0.04679520989552608,0.016557229554771857,0.0015092011607101656,0.04504412675209775,0.04564722922989102,0.045646527400128714,0.0007075211850905165,0.0059959001172834245,0.0769070738451995,0.0007051027144482164,0.0007051027144482164,0.5059131471865059,0.5061725780757569,0.8245963915642704,0.9987478041040572,0.999507615226922,0.8246246124297234,0.9991278205088112,1.0,0.006505779870756516,0.03584793832551282,0.02245880917633966,0.0007855096583061536,0.00913499044619733
日无风险收益率_DRfRet,0.5081554220247937,0.5120415444255977,0.5095219624184012,0.5148774220168668,0.5094422466565627,0.4864248266850646,0.48642559187733875,0.3031532629091847,0.3212352336008298,0.24399351590938897,0.30315136039631035,0.30315136039631035,0.009743568416540067,0.010397314286758278,0.0019649302373492355,0.003633135529971893,0.0023590576321284038,0.003486371793827127,0.007798446036679192,0.006505779870756516,1.0,0.5664286173004004,0.45984876677832365,0.3741981414393426,0.6375702963721795
市盈率_PE,0.4716213523178649,0.4716600485272942,0.4900512922225698,0.45359319101017553,0.47723907870824,0.456740920764657,0.4567408144209069,0.5590000389958468,0.5708616003083521,0.4190005414588836,0.5589980998685897,0.5589980998685897,0.026303175797217138,0.02713559155313127,0.03535162584821276,0.03444461928932754,0.033606148287100825,0.03621785198682581,0.036690913850504416,0.03584793832551282,0.5664286173004004,1.0,0.3889189011496775,0.646629217742297,0.7169404523119931
市净率_PB,0.4812154026494955,0.4805791211020125,0.4775093638318881,0.47108227320226315,0.4727434819406035,0.43885257584597226,0.43885400907263666,0.3680283028806348,0.3695490065209047,0.2883756104444755,0.3680281962646545,0.3680281962646545,0.036080787059055666,0.036033090798096856,0.009273920298671244,0.021160000317409226,0.0224511690733977,0.00968648666177286,0.021173029948034335,0.02245880917633966,0.45984876677832365,0.3889189011496775,1.0,0.44956627569335056,0.8131143754664325
市现率_PCF,0.2454445273076359,0.2419450032432007,0.2571217781446298,0.21730125923940888,0.2386519883914734,0.22372754111987658,0.22372955002568148,0.36536362393772825,0.3534411265073599,0.336787781073463,0.36536092059701447,0.36536092059701447,0.02476531530783006,0.024510477854944087,0.014923982201822826,0.003103466287219791,0.003588513724447397,0.013469774407295554,0.0002148121830322123,0.0007855096583061536,0.3741981414393426,0.646629217742297,0.44956627569335056,1.0,0.8160973200723786
市销率_PS,0.5020356707728075,0.5018685011501446,0.5056148256441297,0.485750487054497,0.49436443456976586,0.46667182161114,0.46667334086537765,0.4470456666331035,0.4499351261154573,0.36333805546577863,0.44704358175230646,0.44704358175230646,0.029703452948097876,0.029244656235648408,0.005450375172349366,0.011424801698560834,0.012412058134625474,0.003919106373827682,0.008107101676585777,0.00913499044619733,0.6375702963721795,0.7169404523119931,0.8131143754664325,0.8160973200723786,1.0
