,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,开盘价_Oppr,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,日振幅(%)_Dampltd,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,等权平均市场日资本收益率_Dareteq,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,日无风险收益率_DRfRet,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,市现率_PCF,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,日收益率_Dret,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,市净率_PB,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,成交量_Trdvol,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr,总股数_Fullshr
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
最新股票名称_Lstknm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中润资源,539.0,3.1166604823747677,0.6731927325406089,1.92,2.5949999999999998,3.2,3.525,6.12,539.0,4.438369202226345,2.80202105854759,0.0,2.40895,3.537,5.8065,19.5545,544.0,0.0004367647058823528,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,34.27152293577982,18.475255989827,14.5,15.28,23.5,52.07,58.04,539.0,0.0019627087198515764,0.03444168177088366,-0.1002,-0.01715,0.0,0.016849999999999997,0.102,545.0,5.048256880733946,1.2724780739159594,3.85,4.17,4.59,5.35,7.96,539.0,38980275.00556586,43264115.40367437,2662800.0,12881170.0,24342000.0,48319336.0,299133376.0,545.0,929017761.0,0.0,929017761.0,929017761.0,929017761.0,929017761.0,929017761.0
中色股份,544.0,5.158970588235295,0.5563605484816798,3.85,4.81,5.07,5.5,7.31,544.0,3.5769876838235293,2.158971364011462,1.0352,2.1591,2.9016,4.349375,13.3874,544.0,0.0004367647058823528,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,8.773021978021978,4.78363025053442,3.37,3.53,13.1,13.1,13.1,544.0,0.00047996323529411744,0.026212244323690286,-0.0934,-0.013825,0.0019,0.014225,0.10099999999999999,546.0,2.038699633699634,0.24454479989529299,1.68,1.92,2.0,2.21,2.37,544.0,44916995.83455882,38805888.49768615,8439433.0,20592996.5,29189025.0,50805212.25,232533690.0,546.0,1969378424.0,0.0,1969378424.0,1969378424.0,1969378424.0,1969378424.0,1969378424.0
中金黄金,544.0,8.235827205882353,0.7068742021567084,6.8,7.695,8.31,8.64,10.37,544.0,2.3680376838235295,1.401899885611355,0.3641,1.4130749999999999,2.06915,2.879875,10.7676,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,546.0,9.143736263736264,1.6194481889636279,8.16,8.16,8.74,8.89,13.77,544.0,0.0006034926470588234,0.019225858477264185,-0.0953,-0.007925000000000001,0.0,0.009649999999999999,0.0996,546.0,1.5737728937728936,0.13755284448302837,1.41,1.42,1.61,1.64,1.82,544.0,43110255.09558824,29939162.5727339,11452818.0,24104489.25,33515246.0,52101858.25,255077239.0,546.0,4847312564.0,0.0,4847312564.0,4847312564.0,4847312564.0,4847312564.0,4847312564.0
兴业矿业,544.0,7.373253676470588,1.0009245642963676,5.56,6.63,7.345,7.852499999999999,11.55,544.0,3.6424123161764705,1.9611536968962617,0.7802,2.2550499999999998,3.16805,4.468625,12.7958,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,25.602990825688074,7.574172424332485,15.41,18.93,29.05,32.54,34.38,544.0,0.0004194852941176471,0.027182620702258957,-0.0839,-0.0146,0.0,0.013325,0.1007,545.0,2.3935045871559635,0.29529025550685156,1.9,2.31,2.48,2.58,2.8,544.0,28925592.56985294,22491334.095077142,6690400.0,14151888.5,20698869.5,35735371.75,165771541.0,545.0,1837192219.0,0.0,1837192219.0,1837192219.0,1837192219.0,1837192219.0,1837192219.0
华钰矿业,542.0,12.385996309963101,2.8898675727075678,5.97,9.8525,12.85,14.459999999999999,19.2,542.0,4.350357011070111,2.1243596019828437,0.0,2.8112,3.9968500000000002,5.478400000000001,12.3554,544.0,0.00046121323529411766,0.011262535197629153,-0.0681,-0.0052,0.0017,0.0077,0.039,544.0,6.319485294117649e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,552.0,20.164456521739133,10.430360076207357,7.09,13.41,14.06,27.67,36.59,542.0,0.0010356088560885606,0.03151589343930151,-0.0977,-0.019275,-0.0012499999999999998,0.020725,0.1001,552.0,2.5120471014492756,0.5860538722277224,1.49,2.4,2.42,2.81,3.55,542.0,16760716.151291514,11453325.113349628,520600.0,9391424.5,13878593.5,19480780.5,110122326.0,552.0,557968067.6557971,3764596.650242749,553808075.0,555147178.0,555334077.0,562320252.0,562325556.0
四川黄金,20.0,23.672,7.004278842626352,11.23,17.6875,26.555,29.127499999999998,32.89,20.0,2.9070650000000002,3.999813855441802,0.0,0.0,0.0,5.43935,12.2266,20.0,-0.0006799999999999998,0.010115053919256866,-0.0216,-0.006375,0.0009,0.0074,0.0171,20.0,6.7e-05,0.0,6.7e-05,6.7e-05,6.7e-05,6.7e-05,6.7e-05,0.0,,,,,,,,20.0,0.05115499999999999,0.07290002869828328,-0.0891,-0.010825000000000001,0.09995000000000001,0.1001,0.1004,0.0,,,,,,,,20.0,12040064.1,15844397.71029918,154662.0,450263.0,1061252.5,21962215.75,46552863.0,21.0,420000000.0,0.0,420000000.0,420000000.0,420000000.0,420000000.0,420000000.0
国城矿业,544.0,14.011084558823528,3.7049050310821134,8.18,9.88,14.805,17.0025,23.9,544.0,4.574164705882352,2.5679823102988886,0.8105,2.8114999999999997,3.86475,5.533825,18.3913,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,44.07622018348624,7.135333633010533,33.29,38.01,45.23,46.23,60.39,544.0,0.0015729779411764707,0.032853497359054906,-0.1003,-0.016625,0.0,0.014325,0.1005,545.0,5.607706422018349,1.206518625245918,3.91,4.64,6.12,6.78,7.02,544.0,10855393.363970589,8626988.445959756,1462340.0,5037526.75,7918497.0,13540762.0,61415440.0,545.0,1133952061.5706422,7402647.224673645,1117646186.0,1137299314.0,1137306074.0,1137309252.0,1137310053.0
安宁股份,544.0,43.08498161764706,7.496952849354474,27.74,37.21,42.370000000000005,48.0475,64.44,544.0,3.7970389705882353,2.0078324294380683,0.9587,2.35765,3.3779500000000002,4.690250000000001,12.9823,544.0,0.0004367647058823529,0.013222263767103391,-0.0785,-0.0068249999999999995,0.0018,0.00865,0.0459,544.0,6.319485294117647e-05,8.395972198000932e-06,4.4e-05,5.9999999999999995e-05,6.6e-05,6.8e-05,7.8e-05,545.0,20.537614678899082,12.858671391770956,11.63,13.0,17.36,20.46,56.04,544.0,0.00010128676470588254,0.02703108193554932,-0.1,-0.013725,0.0016,0.01465,0.1001,545.0,3.6205504587155963,0.9399626819704237,2.45,2.88,3.53,4.39,5.24,544.0,2731187.341911765,2137054.005594793,355089.0,1451095.25,2145184.5,3294723.75,18927483.0,545.0,401000000.0,0.0,401000000.0,401000000.0,401000000.0,401000000.0,401000000.0
