安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
45.72,4.81,18.32,30.35,9.94,8.6,10.81,6.25,6.28,42.3,23.96,16.3,9.38,13.6,9.53,10.5,7.45,8.73,8.92,2.39,5.1,9.42
46.76,4.95,19.2,31,9.81,8.72,10.97,6.31,6.35,45.2,24.45,16.45,9.72,13.75,9.59,10.96,7.37,9,9.13,2.45,5.21,10.09
48.8,5,19.24,31.1,9.55,8.79,10.86,6.38,6.49,46.99,24.66,16.49,9.49,13.61,9.7,10.75,7.2,8.98,9.08,2.38,5.2,10.45
50.5,4.86,18.65,31,8.97,8.61,10.51,6.32,6.76,48.48,24,15.8,8.96,13.36,9.62,10.28,7.3,8.61,8.88,2.32,4.99,10.43
50.26,5.12,18.63,31.77,8.18,8.73,10.6,6.5,7.36,50,24.4,16.5,9.64,13.46,9.5,10.4,7.61,8.6,8.99,2.29,5.08,11.4
46,5,17.05,31.13,8.38,8.4,10,6.31,7.2,50.4,23.5,14.95,9.3,13.04,9.59,9.86,7.72,7.92,8.56,2.28,4.79,10.9
41.9,4.9,16.97,31,8.28,7.95,9.45,5.88,6.56,43.81,23.3,14.29,8.35,12.74,,9.06,7.8,8,8.26,2.16,4.65,10.3
43.2,5,17.16,31,8.25,7.96,8.84,5.98,6.87,47.79,23.39,14.62,8.64,12.85,9.52,9.22,7.69,8.06,8.35,2.16,4.71,10.92
42.73,4.93,16.81,31.93,8.54,7.9,8.49,5.83,6.3,43.49,23.25,14.46,7.6,12.81,9.5,8.84,7.8,7.91,8.33,2.09,4.7,10.62
41.9,4.99,16.65,31.11,9,7.85,8.44,5.72,6.3,41.08,22.8,14.2,7.83,12.83,9.39,8.93,7.71,7.87,8.36,2.09,4.64,10.59
44.08,4.82,16.45,33.57,8.75,7.72,8.52,5.88,6.2,41.88,22.6,13.7,7.66,12.85,9.68,9.39,7.51,7.84,8.34,2.11,4.8,10.3
44.1,4.92,17.44,33.68,9.33,7.84,8.56,5.91,6.26,44.35,23.09,14.29,7.63,13.02,9.55,9.49,7.55,7.95,8.48,2.11,4.73,10.55
43.21,4.7,16.95,31.3,9.26,7.85,8.59,5.79,5.9,46.02,23,13.88,7.42,13.03,9.23,9.25,7.58,7.99,8.4,2.21,4.66,10.28
43.58,4.79,17.19,34.71,9.09,7.92,8.72,5.83,6.16,47,23.16,14.21,7.7,13.16,9.63,9.39,7.63,8.05,8.49,2.17,4.8,10.7
47.39,5.24,16.85,39,9.12,7.91,8.81,5.91,6.25,49.7,22.89,14.15,7.71,13.01,9.84,9.4,7.58,8.13,8.48,2.2,5.5,10.87
46.51,5.22,16.67,36.78,8.97,7.8,8.49,5.8,6.56,53.69,22.53,13.67,8,12.85,9.86,9.32,7.61,7.95,8.26,2.18,5.21,10.84
46.31,5.34,16.45,35.27,8.94,7.79,8.55,5.89,6.59,56.22,22,13,8.55,12.75,10,10.39,7.6,7.84,8.03,2.1,5.03,11
43.6,5.25,16.61,36.65,8.78,7.94,8.8,5.78,6.3,50.24,22.5,13.15,8.24,12.98,11.02,10.07,7.42,8.02,8.38,2.11,5.1,10.79
44.71,5.15,16.34,34.56,8.7,7.8,8.55,5.63,6.1,50.33,22,12.71,7.82,12.86,10.99,10.45,7.45,7.83,8.2,2.12,4.89,10
43.97,5.28,16.41,37.07,8.68,7.79,8.63,5.68,6.04,54.2,22.26,13.4,8,12.92,11.5,11.7,7.47,7.89,8.37,1.92,4.92,9.9
44.23,5.11,16.43,35.2,8.61,7.83,,5.52,6.01,52.5,22.3,14.74,7.33,13.41,11.09,10.9,7.5,8.31,8.55,2.11,4.6,9.94
