安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
2796224,141321139,70298856,7075035,9212756,25706304,31387073,43614330,765332022,1707256,42050262,16351056,357881801,5303358,23199536,46342534,14601439,49174719,48384332,10049968,67806180,445168334
4440120,108579012,71130570,5486366,15383045,27197219,22388302,32874993,644761906,5986137,56536536,14824031,330625844,5740073,18033266,56515785,17457981,39836697,52671200,10533175,49736543,362738182
3996207,141700461,44025658,4896242,16429600,16839568,15241468,28225570,671083287,11560191,37475818,11722568,279095893,5568765,17467546,36505125,10995203,28772556,39503259,12365600,48232939,382786005
6701577,207399673,46982429,8108812,24913298,24273920,30812855,73517386,998586991,11235430,42532539,19844574,372387077,5834400,16091490,38173377,24347862,37400000,47564008,9486708,75658255,447954121
7253091,154717739,49151796,6756327,17835895,21600650,24226397,40705717,870495678,15830949,35039453,14514201,269311064,6149763,16606027,29666579,39867222,46828304,40370667,5940801,63173555,389430578
6156085,158096017,74235205,11565844,10848052,39917025,25090367,39830208,756501100,15168107,42714965,24742938,262559577,6222249,14690645,34531788,26551904,42959086,70895460,11519082,45742001,471688810
3823737,76366445,37900630,7424439,9876809,19223107,30251732,21000310,607832284,13113778,25845691,10623720,217995416,4494447,14690646,18441570,22179391,26501240,30080849,5487782,30329196,330386249
3861655,126875874,46036264,10493736,13628484,18937338,18901984,26031712,683705339,10868285,24467426,14710234,334133270,3171848,29794103,25756617,18571777,25128840,29831493,12226388,36269012,446550141
2762600,115536631,39707779,6568868,22372550,16499340,14283669,19605908,493799421,8421500,41909604,13490686,189890416,2776554,21356442,16871732,22939015,21872333,25855174,9263677,28066337,248924015
4044648,58934719,30186224,8701169,10295533,14035669,14203866,21922688,444421669,16035937,18965827,9295940,162000343,2751351,23305329,22608444,21091139,16304299,29301901,6940698,23003637,265911595
2071500,50075647,31080189,13346881,15901693,12454371,11998291,15555285,416716742,6455576,22330800,8467773,135347835,2969469,27952740,21033048,18843579,21104719,27298078,5549202,37380789,297687279
2356094,63585196,38532929,18567444,18075454,11209886,11845128,11406296,559869187,8895045,19214923,11219305,194599381,3054904,28200013,20697345,22380377,21081376,22910186,16817539,32374897,241515575
1523275,52081259,27107077,25096373,9136488,10864508,13746098,9925325,484385308,11002403,16618133,7046466,183936588,2623203,23674848,16979315,13636845,16706937,21926627,7837042,47957855,207543682
2703608,230141343,31059360,35325020,6817140,16047802,26011172,32954879,514155183,10989792,24222338,11666873,240226361,3196738,32480726,26539388,13867582,27425641,33580564,14166577,93928209,327400497
3751460,165181019,33796404,35712461,8137405,11231094,17280293,16322308,551942008,7413232,26480550,10871637,233805341,3728899,25178284,18979486,14543081,23970373,28602514,7318828,136318175,209061346
3258137,173839572,34013258,25088575,8968279,14433803,19133580,20908323,597989262,5251617,32022881,16898342,362980562,2922903,23730288,40554946,20674448,22841758,44558297,13020121,80359523,302129487
4179173,118537044,50510370,22312978,5816260,27607811,23612847,16751090,408575819,17378600,48485214,10959620,221641175,7343405,78684670,49030616,22195668,34832887,63791249,21926669,81552009,268877460
2857636,79944310,32907700,14636567,3390270,15579401,13328484,17082016,397186268,15110842,27415847,9738385,199442422,3632361,89400077,64416522,12511092,23678955,33000673,14157296,60365728,264593333
2215780,105032249,21996921,17124601,5067470,13229995,13101902,12760448,396809169,9861634,19724050,6399002,138527214,3920789,68935037,81732062,14111543,19167008,31912812,10806889,45976782,351893779
2955000,103082632,26387230,14222879,6430886,14362571,18346604,12316729,343091535,13741969,19087371,15016963,145039756,6532827,54992178,90581539,15649961,26819799,44522551,25392181,58481748,277139966
