安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
0.6973,2.7757,4.2249,2.3443,0.8101,2.1386,5.6538,1.3517,4.3323,0.6575,1.1634,2.3698,13.5587,0.8339,0.9735,5.0691,0.7948,1.771,0.9982,1.0818,3.443,2.2666
1.1073,2.1326,4.2749,1.8179,1.3526,2.2626,4.0329,1.0189,3.6498,2.3054,1.5642,2.1485,12.5261,0.9025,0.7567,6.1819,0.9503,1.4347,1.0866,1.1338,2.5255,1.8469
0.9966,2.7832,2.6459,1.6223,1.4446,1.4009,2.7455,0.8748,3.7988,4.4521,1.0368,1.699,10.5738,0.8756,0.733,3.9931,0.5985,1.0362,0.815,1.331,2.4491,1.949
1.6712,4.0736,2.8236,2.6868,2.1906,2.0194,5.5504,2.2785,5.6527,4.3271,1.1767,2.8762,14.1083,0.9174,0.6753,4.1756,1.3253,1.3469,0.9812,1.0212,3.8417,2.2808
1.8088,3.0389,2.954,2.2387,1.5683,1.797,4.364,1.2616,4.9276,6.0969,0.9694,2.1036,10.2031,0.9669,0.6969,3.2451,2.17,1.6865,0.8328,0.6395,3.2078,1.9828
1.5352,3.1052,4.4615,3.8323,0.9538,3.3208,4.5196,1.2344,4.2823,5.8416,1.1818,3.5861,9.9474,0.9783,0.6165,3.7772,1.4452,1.5471,1.4626,1.2399,2.3227,2.4016
0.9536,1.4999,2.2778,2.46,0.8684,1.5992,5.4493,0.6508,3.4407,5.0505,0.7151,1.5397,8.259,0.7067,,2.0172,1.2072,0.9544,0.6206,0.5907,1.54,1.6822
0.963,2.492,2.7667,3.477,1.1983,1.5754,3.4049,0.8068,3.8702,4.1857,0.6769,2.132,12.659,0.4987,1.2503,2.8174,1.0109,0.905,0.6154,1.3161,1.8416,2.2736
0.6889,2.2693,2.3864,2.1765,1.9672,1.3726,2.573,0.6076,2.7952,3.2433,1.1595,1.9553,7.1942,0.4366,0.8962,1.8455,1.2486,0.7877,0.5334,0.9971,1.4251,1.2674
1.0086,1.1576,1.8142,2.8831,0.9053,1.1677,2.5586,0.6794,2.5157,6.1759,0.5247,1.3473,6.1376,0.4326,0.978,2.473,1.148,0.5872,0.6045,0.7471,1.1681,1.3539
0.5166,0.9836,1.8679,4.4224,1.3982,1.0361,2.1613,0.4821,2.3589,2.4862,0.6178,1.2273,5.1278,0.4669,1.173,2.3007,1.0257,0.7601,0.5632,0.5973,1.8981,1.5157
0.5876,1.2489,2.3158,6.1522,1.5893,0.9326,2.1337,0.3535,3.1692,3.4257,0.5316,1.6261,7.3726,0.4803,1.1834,2.264,1.2182,0.7592,0.4726,1.8102,1.6439,1.2297
0.3799,1.0229,1.6291,8.3155,0.8033,0.9038,2.4761,0.3076,2.7419,4.2373,0.4598,1.0213,6.9686,0.4125,0.9935,1.8573,0.7423,0.6017,0.4523,0.8436,2.4352,1.0567
0.6742,4.5203,1.8666,11.7047,0.5994,1.335,4.6855,1.0213,2.9105,4.2325,0.6702,1.6909,9.1012,0.5026,1.363,2.903,0.7548,0.9877,0.6928,1.5249,4.7694,1.667
0.9355,3.2444,2.0311,11.8331,0.7155,0.9343,3.1127,0.5059,3.1244,2.855,0.7326,1.5757,8.858,0.5863,1.0566,2.0761,0.7916,0.8633,0.5901,0.7878,6.9219,1.0644
0.8125,3.4144,2.0442,8.3129,0.7886,1.2008,3.4466,0.648,3.385,2.0225,0.886,2.4491,13.7519,0.4596,0.9958,4.4361,1.1253,0.8226,0.9192,1.4015,4.0805,1.5383
1.0422,2.3282,3.0356,7.3932,0.5114,2.2967,4.2534,0.5192,2.3128,6.693,1.3414,1.5884,8.3971,1.1546,3.3019,5.3632,1.2081,1.2545,1.316,2.3602,4.141,1.369
0.7126,1.5702,1.9777,4.8497,0.2981,1.2961,2.4009,0.5294,2.2483,5.8196,0.7585,1.4114,7.5561,0.5711,3.7516,7.0461,0.681,0.8528,0.6808,1.5239,3.0652,1.3472
0.5526,2.063,1.322,5.6741,0.4456,1.1006,2.3601,0.3955,2.2462,3.798,0.5457,0.9274,5.2483,0.6165,2.8928,8.9402,0.7681,0.6903,0.6584,1.1633,2.3346,1.783
0.7369,2.0247,1.5859,4.7126,0.5655,1.1949,3.3048,0.3817,1.9421,5.2924,0.5281,2.1765,5.495,1.0272,2.3077,9.9082,0.8518,0.9659,0.9185,2.7332,2.9696,1.4042
0.7229,1.214,2.6132,3.5041,0.4021,1.7811,4.3048,0.409,1.5668,3.6927,0.8758,2.1217,5.7091,1.1533,1.9936,6.0511,1.6407,2.9945,0.9881,0.9987,2.0107,1.7999
0.5358,1.6748,1.6993,6.2866,0.5878,1.437,3.4765,0.2415,2.0683,4.3026,0.6372,8.4647,5.959,0.7517,3.5054,4.7704,1.19,3.3533,0.7895,0.9437,1.9186,1.4228
0.7269,1.6136,1.6224,8.7304,0.628,1.14,2.1843,0.426,4.118,3.6694,0.5148,5.7653,8.1371,0.4921,2.3518,4.4978,0.846,2.3194,0.5565,0.4471,2.599,1.4261
