安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.65,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.55,1.67,7.29,5.28,4.67,2,2.4,1.63,3.47,18.69,3.54,4.94,2.26,4.84,1.48,4.57,2.48,2.42,1.82,4.17,2.19,4.17
4.05,1.64,7.29,6.47,4.06,1.85,2.4,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.17
4.05,1.64,6.65,6.47,4.06,1.85,2.4,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,2.4,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
4.05,1.64,6.65,6.47,4.06,1.85,1.81,1.57,2.95,24.25,3.11,4.01,1.54,4.71,1.51,4.2,2.48,2.43,1.63,3.85,2.21,4.15
