安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
56.04,9.61,68.78,270.26,33.29,12.31,14.06,13.68,79.18,396.34,24.38,18.38,35.06,57.24,2.8,9.8,34.38,20.86,13.77,15.28,13.1,22.1
