安宁股份,驰宏锌锗,赤峰黄金,广晟有色,国城矿业,湖南黄金,华钰矿业,金钼股份,洛阳钼业,融捷股份,山东黄金,盛达资源,盛屯矿业,西部黄金,西部矿业,西藏珠峰,兴业矿业,银泰黄金,中金黄金,中润资源,中色股份,紫金矿业
4.4711,5,4.746,3.9443,1.3092,1.8801,3.6799,3.2206,10.08,2.561,1.9475,3.6432,8.4061,1.2602,2.1186,4.5802,2.2849,3.4843,2.3837,3.3333,4.9213,8.5038
6.2284,4.2339,3.3511,2.8828,3.7563,1.7281,4.4465,3.4865,5.513,3.9489,2.6893,3.1947,5.4656,1.8275,2.3859,6.7044,2.4457,3.1425,2.4283,4.0984,2.8626,3.9841
4.2418,6.0729,2.8601,2.5016,6.2827,2.2779,4.512,2.5039,7.5353,5.531,2.9923,4.0097,9.9031,1.7634,1.8614,7.3529,1.6667,3.233,2.5275,5.4393,5.5985,4.7013
4.7736,6.9959,2.9874,3.2413,9.8234,3.211,7.5259,7.2327,10.963,3.6241,3.1609,6.4975,11,2.3881,2.3859,7.6329,3.8462,2.0619,2.6726,3.4335,6.6265,8.9524
9.5477,6.2622,3.8462,5.6048,7.5995,2.5,6.6667,4.6012,8.288,6.3014,1.7857,4.2143,8.6867,2.8211,2.7254,5.7915,3.7086,4.729,2.439,3.4783,6.0784,5.5456
9.8249,3.6893,4.3646,7.3836,3.0769,5.3302,8,6.4465,8.7838,10,1.8137,3.0492,7.8224,2.1986,2.199,8.0321,2.3018,2.4096,3.2843,6.6079,4.09,5.4626
5.488,3.2,2.4504,3.4059,2.7981,2.372,9.448,2.0067,9.1716,9.3421,1.3681,3.3887,5.2204,1.4821,,3.2715,1.9231,2.396,1.8051,2.7778,2.3504,6.2793
6.0074,6.2,4.1885,6.0064,5.314,2.25,5.467,4.5151,10.7558,7.7778,1.1489,4.8431,13.3646,1.0861,4.5551,6.8553,2.1964,1.9851,1.9093,4.1667,4.2373,9.633
3.8488,6.5737,2.472,4.4486,10.8876,2.7743,2.4504,2.8961,4.8137,1.8314,2.5707,3.527,6.1118,1.249,3.4995,4.1387,1.6731,2.25,1.9208,3.3333,3.1579,3.839
7.5512,4.9801,1.9289,7.0853,3.3223,1.6624,3.91,10.1576,5.9011,4.7154,0.6585,3.212,6.7885,0.9331,3.0818,6.159,2.4328,1.6539,1.3158,2.8986,2.5974,6.1361
2.6906,3.2587,3.8118,3.7025,8.0045,1.9133,3.169,2.3569,4.0881,4.791,2.7535,4.4968,4.4987,1.4683,2.1944,2.763,1.4436,1.5094,2.0142,3.3175,4.5356,7.3864
4.4619,5.5328,3.2181,8.3408,5.5794,1.4066,1.8583,2.0202,9.1346,4.8883,1.4738,5.434,6.7797,0.8475,3.1153,3.6765,4.261,1.6393,1.773,7.0755,2.521,5.6127
2.5457,4.2553,1.4184,12.4485,2.2629,1.1407,1.8735,1.7094,6.2818,2.4655,0.8643,2.2513,7.1429,0.8455,4.1756,4.2208,2.6281,1.5,1.0664,3.139,6.0086,3.6965
6.3129,11.25,2.0552,11.9205,2.5358,1.9036,6.0395,5.1458,6.7742,5.9242,1.1295,2.5586,7.398,0.9195,3.1679,5.5615,1.6949,2.375,2.0166,7.8341,11.3402,5.0189
4.1814,2.6515,2.2353,9.0838,3.0735,1.7632,4.0449,2.5295,7.29,5.0882,1.5178,3.5063,7.4684,2.144,2.444,3.7935,2.6455,2.0808,2.23,2.6906,6.5543,3.0082
5.0354,7.9151,2.9394,6.8138,3.5754,3.0691,6.7678,3.9519,8.4485,2.7159,2.3472,5.5072,10.9589,1.3189,3.7261,10.4189,2.3622,2.7569,3.0012,4.1096,4.3726,5.7248
7.8315,4.2593,5.7751,9.691,4.0134,6.3939,9.3349,4.2445,6.8657,9.6204,7.8947,4.8669,5.467,6.0985,9.0361,5.1758,4.106,5.972,9.6415,11.9048,5.653,4.4344
7.9358,3.5782,2.4146,6.9059,1.8328,1.6149,4.0495,2.9463,7.4841,8.463,2.3903,3.2959,9.8321,1.5837,3.4612,10.119,1.4885,1.9584,2.5822,2.6906,4.4231,7.1695
4.0672,7.5901,2.2905,11.6648,3.4208,2.4266,3.6697,1.7699,5.0235,7.032,2.6991,2.4106,5.7214,2.948,3.0825,11.9389,1.0667,2.7883,4.5894,5.6338,4.4266,5.8541
5,8.8123,3.0731,7.1743,4.9123,2.1935,7.7283,3.5398,7.4199,9.4778,2.1759,4.9334,11.2102,3.1783,3.5714,13.2812,2.3968,2.4359,3.2648,11.7371,7.3922,7.1281
6.4379,3.7182,5.0672,4.9359,2.8202,2.9374,,2.7076,4.1254,6.7115,3.1517,1.194,7.973,2.4981,2.2361,8.9154,4.5333,6.0075,2.6097,5.6075,3.6717,6.875
3.3828,5.4902,2,9.5883,2.9377,2.2472,7.439,1.6334,3.8591,5.9078,1.7521,8.2768,6.1776,2.1021,2.6882,4.9038,1.8182,5.347,2.4419,4.2453,4.415,5.364
3.6105,5.4656,1.6746,9.2974,3.8194,1.4066,3.2333,3.2727,11.5073,5.6611,1.7937,2.0664,4.5056,1.9231,4.7162,4.147,1.706,4.9718,2.5301,2.381,6.9565,4.7222
5.4689,9.6,8.3436,7.5266,4.6931,4.9673,2.3641,5.8719,7.5301,5.3489,4.4424,6.6806,9.1925,3.6782,3.0115,6.0456,1.8568,5.8411,4.6626,4.4335,4.8832,5.0524
5.6884,5.3333,7.0395,8.8858,3.0157,2.449,6.0049,1.8553,7.9545,3.8749,2.2588,8.2005,9.9734,1.026,1.4938,8.6777,1.706,3.2218,2.1601,2.9126,4.6358,6.0099
6.567,4.328,7.3571,4.7983,3.0414,1.7882,5,2.4482,9.2334,8.7317,2.1144,7.3042,10.6352,2.4038,2.3873,5.1685,2.7451,5.0193,2.0752,1.9608,4.1284,6.0204
6.1135,7.0485,5.6718,8.354,3.3776,1.7663,4.1005,2.8249,7.4013,7.1545,1.6525,10.1439,6.0729,1.4252,1.3429,10.907,0.9434,7.375,1.5171,1.9704,4.7836,5.3824
3.9842,3.5491,3.3715,9.8551,2.3952,2.9451,3.9164,3.1308,6.7293,5.1472,3.1323,4.8518,4.183,1.5711,1.7148,4.5842,1.4785,3.9813,3.354,1.4706,3.0769,7.4956
5.001,2.6694,6.9357,3.8369,5.2311,4.4619,2.7604,3.442,2.2796,5.7137,4.1417,,4.7742,3.9063,2.2894,4.6759,1.3333,7.7537,3.1902,5.3922,4.3956,0
5.0444,11.7537,7.4462,4.9052,9.4145,3.2995,5.5416,4.6233,6.2155,3.1843,3.0769,,12.2912,2.6738,2.0295,5.8223,3.0667,3.7879,4.0524,6.5421,5.317,9.1798
8.7138,6.3793,9.7503,8.0313,5.8698,7.0025,11.1111,7.6923,5.4698,5.9948,8.7539,,8.2873,6.5909,1.3799,9.6173,2.3224,5.9848,5.8617,9.417,8.2677,4.9853
4.8372,4.5886,7.8841,4.5835,4.5918,4.8387,6.7236,4.3411,7.3684,2.7822,4.5948,,7.2165,3.0501,1.2856,4.2373,1.108,6.3476,10.7676,6.867,7.2491,5.2632
6.3801,6.3123,4.6021,5.8128,3.8585,3.4792,7.1502,4.0881,10.3079,4.9762,4.9834,,7.6923,4.9383,2.3897,3.7645,1.6438,4.8269,7.1642,4.7826,6.1111,12.4188
4.907,6.2712,4.3256,6.063,6.1506,5.2813,11.1455,7.396,7.7869,9.7494,3.0303,,8.4081,2.2539,2.0619,6.4238,1.1034,4.253,7.7154,4.8673,9.7649,6.5649
3.4455,4,4.9625,7.1448,4.0043,3.4642,8.563,3.9063,4.7945,1.9753,1.6235,,4.7564,1.81,1.7447,4.7525,0.9682,2.6374,3.2587,4.8246,4.486,4.4684
3.8958,4.3876,2.561,10.8116,3.871,5.3635,5.315,3.8462,8.0597,4.2879,1.7109,,4.674,2.9862,2.844,9.9147,1.5193,4.1427,4.1845,3.1674,10.0386,5.2502
3.3954,4.5455,6.0048,8.9272,5.0314,3.7844,,4.0498,6.6572,6.3889,3.2648,14.4928,6.81,1.3564,2.1043,3.876,2.7397,7.4527,4.127,3.1111,4.5045,4.4643
8.0833,3.9773,3.325,10.007,4.5154,3.7383,4.8241,2.7419,4.7761,6.5816,1.6957,4.4884,4.4304,1.597,3.8175,3.2528,1.532,2.6624,1.9694,4.5662,9.1248,4.6809
6.0723,2.7574,3.1506,10.627,3.3934,4.6328,5.8824,3.3333,4.5455,3.1341,2.6234,3.6388,4.1667,2.187,3.3303,3.1336,0.8299,2.2801,2.5137,3.1111,7.3814,6.737
3.5843,3.5849,7.3539,7.7228,6.1702,3.6954,9.1192,2.0833,3.9246,6.3894,1.8402,5.2669,5.1181,2.1936,2.2665,3.2802,1.2483,2.5584,3.2438,3.139,6.2612,4.6288
