日期_Date,前收盘价_PrevClPr,开盘价_Oppr,最高价_Hipr,最低价_Lopr,收盘价_Clpr,复权价1(元)_AdjClpr1,复权价2(元)_AdjClpr2,成交量_Trdvol,成交金额_Trdsum,日振幅(%)_Dampltd,总股数日换手率(%)_DFulTurnR,流通股日换手率(%)_DTrdTurnR,总股数_Fullshr,流通股_Trdshr,已上市流通股_Lsttrdshr,日收益率_Dret,日资本收益率_Daret,等权平均市场日收益率_Dreteq,流通市值加权平均市场日收益率_Drettmv,总市值加权平均市场日收益率_Dretmc,等权平均市场日资本收益率_Dareteq,流通市值加权平均市场日资本收益_Darettmv,总市值加权平均日资本收益_Daretmc,日无风险收益率_DRfRet,市盈率_PE,市净率_PB,市现率_PCF,市销率_PS
2021-01-04,6.25,6.28,6.79,6.16,6.53,22.224,6.4075,765332022,4912775937,10.08,4.3323,4.3323,17665772583,17665772583,17665772583,0.0448,0.0448,0.0116,0.0075,0.008,0.0116,0.0075,0.008,0.000075,60.58,3.47,79.18,1.97
2021-01-05,6.53,6.35,6.48,6.12,6.37,21.6795,6.2505,644761906,4056856034,5.513,3.6498,3.6498,17665772583,17665772583,17665772583,-0.0245,-0.0245,-0.0001,0.0072,0.0073,-0.0001,0.0072,0.0073,0.000075,59.09,3.47,79.18,1.97
2021-01-06,6.37,6.49,6.8,6.32,6.75,22.9727,6.6233,671083287,4406709480,7.5353,3.7988,3.7988,17665772583,17665772583,17665772583,0.0597,0.0597,-0.0088,0.0066,0.0064,-0.0088,0.0066,0.0064,0.000074,62.62,3.47,79.18,1.97
2021-01-07,6.75,6.76,7.43,6.69,7.36,25.0488,7.2219,998586991,7286581582,10.963,5.6527,5.6527,17665772583,17665772583,17665772583,0.0904,0.0904,-0.0192,0.0089,0.0076,-0.0192,0.0089,0.0076,0.000073,68.27,3.47,79.18,1.97
2021-01-08,7.36,7.36,7.41,6.8,7.4,25.1849,7.2611,870495678,6177183131,8.288,4.9276,4.9276,17665772583,17665772583,17665772583,0.0054,0.0054,-0.0016,-0.0021,-0.0017,-0.0016,-0.0021,-0.0017,0.000072,68.65,3.47,79.18,1.97
2021-01-11,7.4,7.2,7.31,6.66,6.76,23.0068,6.6331,756501100,5267513113,8.7838,4.2823,4.2823,17665772583,17665772583,17665772583,-0.0865,-0.0865,-0.0221,-0.0113,-0.0115,-0.0221,-0.0113,-0.0115,0.000072,62.71,3.47,79.18,1.97
2021-01-12,6.76,6.56,7.06,6.44,6.88,23.4152,6.7509,607832284,4091712346,9.1716,3.4407,3.4407,17665772583,17665772583,17665772583,0.0178,0.0178,0.0091,0.0221,0.0222,0.0091,0.0221,0.0222,0.000071,63.82,3.47,79.18,1.97
2021-01-13,6.88,6.87,7.04,6.3,6.44,21.9177,6.3192,683705339,4567590321,10.7558,3.8702,3.8702,17665772583,17665772583,17665772583,-0.064,-0.064,-0.0113,-0.0031,-0.0033,-0.0113,-0.0031,-0.0033,0.000071,59.74,3.47,79.18,1.97
2021-01-14,6.44,6.3,6.47,6.16,6.27,21.3391,6.1523,493799421,3111977641,4.8137,2.7952,2.7952,17665772583,17665772583,17665772583,-0.0264,-0.0264,0.0008,-0.0101,-0.0104,0.0008,-0.0101,-0.0104,0.000071,58.16,3.47,79.18,1.97
2021-01-15,6.27,6.3,6.47,6.1,6.36,21.6454,6.2407,444421669,2800458606,5.9011,2.5157,2.5157,17665772583,17665772583,17665772583,0.0144,0.0144,0.0095,-0.0004,0.0002,0.0095,-0.0004,0.0002,0.000071,59,3.47,79.18,1.97
2021-01-18,6.36,6.2,6.33,6.07,6.24,21.237,6.1229,416716742,2585222754,4.0881,2.3589,2.3589,17665772583,17665772583,17665772583,-0.0189,-0.0189,0.0135,0.007,0.0078,0.0135,0.007,0.0078,0.000071,57.88,3.47,79.18,1.97
2021-01-19,6.24,6.26,6.39,5.82,5.89,20.0458,5.7795,559869187,3414990873,9.1346,3.1692,3.1692,17665772583,17665772583,17665772583,-0.0561,-0.0561,0.0024,-0.0076,-0.0073,0.0024,-0.0076,-0.0073,0.00007,54.64,3.47,79.18,1.97
2021-01-20,5.89,5.9,6.27,5.9,6.2,21.1009,6.0837,484385308,2963676498,6.2818,2.7419,2.7419,17665772583,17665772583,17665772583,0.0526,0.0526,0.0031,0.0034,0.0037,0.0031,0.0034,0.0037,0.000071,57.51,3.47,79.18,1.97
